info-date,cv-structured-list-data,iconfont,tranPrice,riseBox,cv-structured-list-data 2,cv-structured-list-data 3,label
4/11/2024,Parkland Villas・Block 7・Lower Floor・Flat H,,$4.05M,--,381ft²,"@$10,630",Centaline
4/11/2024,H Cube・Upper Floor・Flat 5,,$12.85M,--,927ft²,"@$13,862",Centaline
4/11/2024,Castello・Block 8・Lower Floor・Flat B,,$8.58M,--,873ft²,"@$9,828",Centaline
4/11/2024,Taikoo Shing・Sing Fai Terrace・(T-50) Yiu Sing Mansion・Lower Floor・Flat D,,$7.05M,--,503ft²,"@$14,016",Centaline
4/11/2024,Oceanaire・Tower 3B・Lower Floor・Flat C,,$8.39M,--,743ft²,"@$11,292",Centaline
4/11/2024,Villa Esplanada・Phase 3・Block 8・Middle Floor・Flat E,,$9.18M,--,684ft²,"@$13,421",Centaline
4/11/2024,The Cairnhill・Phase 1・Block 9・Upper Floor・Flat A,,$12.88M,--,"1,008ft²","@$12,778",Centaline
4/11/2024,Sunshine City・Phase 3・Block P・Lower Floor・Flat 3,,$4.2M,--,337ft²,"@$12,463",Centaline
4/11/2024,Mountain Shore・Block 3・Lower Floor・Flat E,,$5.38M,--,501ft²,"@$10,739",Centaline
4/11/2024,The Cliveden・Block 7・Lower Floor・Flat A,,$9.8M,--,"1,107ft²","@$8,853",Centaline
4/11/2024,K‧Summit・Tower 2B・Middle Floor・Flat E,,$9.26M,--,512ft²,"@$18,086",Centaline
4/11/2024,Kam Fook Mansion・Middle Floor・Flat C,,$4.6M,--,400ft²,"@$11,500",Centaline
4/11/2024,Ching Wah Court・Wah Fung House (Block D)・Middle Floor・Flat 3,,$3.2M,--,401ft²,"@$7,980",Centaline
4/11/2024,Tung Chung Crescent・Phase 2・Block 7・Middle Floor・Flat E,,$5.95M,--,527ft²,"@$11,290",Centaline
4/11/2024,Seaview Crescent・Block 2・Lower Floor・Flat H,,$5.9M,--,558ft²,"@$10,573",Centaline
4/11/2024,Wai Fat Building・Middle Floor・Flat H,,$3.98M,--,434ft²,"@$9,171",Centaline
4/11/2024,Central Park Towers・Phase 2 Central Park Towers II・Tower 9・Upper Floor・Flat D,,$7.3M,--,712ft²,"@$10,253",Centaline
4/11/2024,Island Harbourview・Tower 7・Upper Floor・Flat F,,$16.8M,--,949ft²,"@$17,703",Centaline
4/11/2024,Grand Central・Phase 2・Tower 3・Middle Floor・Flat B,,,--,831ft²,@$41,Centaline
4/11/2024,Caribbean Coast・Phase 1 Monterey Cove・Tower 3・Lower Floor・Flat C,,,--,495ft²,@$36,Centaline
4/11/2024,Hampton Place・Tower 2・Middle Floor・Flat D,,,--,465ft²,@$39,Centaline
4/11/2024,Rhine Terrace・Upper Floor・Flat B,,,--,598ft²,@$24,Centaline
4/11/2024,The Consonance・Upper Floor・Flat H,,,--,200ft²,@$80,Centaline
4/11/2024,Beverly Hill・Block G・Middle Floor・Flat 1,,,--,"1,057ft²",@$44,Centaline
4/11/2024,Aigburth・Lower Floor・Flat B,,,--,"2,102ft²",@$59,Centaline
4/11/2024,The Beaumount・Phase 1・Tower 3・Lower Floor・Flat A,,,--,738ft²,@$26,Centaline
4/11/2024,Aqua Marine・Tower 3・Middle Floor・Flat D,,,--,511ft²,@$37,Centaline
4/11/2024,On Ning Garden・Block 6・Upper Floor・Flat G,,,--,465ft²,@$30,Centaline
4/11/2024,Metro Town・Phase 2 Le Point・Tower 6・Lower Floor・Flat A,,,--,594ft²,@$40,Centaline
4/11/2024,Stephen Mansion・Middle Floor・Flat A,,,--,828ft²,@$36,Centaline
4/11/2024,Braemar Hill Mansions・Block 1・Middle Floor・Flat B,,,--,"1,124ft²",@$40,Centaline
4/11/2024,Richland Garden・Block 2・Middle Floor・Flat D,,,--,372ft²,@$30,Centaline
4/11/2024,Ori・Tower 1・Middle Floor・Flat D,,,--,258ft²,@$40,Centaline
4/11/2024,Tsing Yi Garden・Block 2・Middle Floor・Flat B,,,--,343ft²,@$39,Centaline
4/11/2024,Vista Paradiso・Phase 1・Tower 1・Middle Floor・Flat A,,,--,"1,025ft²",@$33,Centaline
4/11/2024,Gold Ning Mansion・Middle Floor・Flat E,,,--,567ft²,@$39,Centaline
4/11/2024,Mayfair By The Sea 8・Tower 3C・Lower Floor・Flat A,,,--,666ft²,@$44,Centaline
4/11/2024,Tsuen Wan Centre・Block 6 (Chungking House)・Lower Floor・Flat B,,,--,380ft²,@$33,Centaline
4/11/2024,South Horizons・Phase 2・Yee Lai Court (Block 10)・Middle Floor・Flat A,,,--,739ft²,@$36,Centaline
4/11/2024,Yoho Town・Phase 1・Block 5・Upper Floor・Flat D,,,--,433ft²,@$35,Centaline
3/11/2024,Pokfulam Gardens・Block 2・Middle Floor・Flat G,,,--,456ft²,@$42,Centaline
3/11/2024,Island Crest・Tower 1・Lower Floor・Flat B,,,--,559ft²,@$62,Centaline
3/11/2024,Aegean Coast・Tower 5・Upper Floor・Flat B,,,--,811ft²,@$25,Centaline
3/11/2024,Grand Central・Phase 1・Tower 2・Lower Floor・Flat H,,,--,717ft²,@$39,Centaline
3/11/2024,Nob Hill・Tower 3・Lower Floor・Flat A,,,--,441ft²,@$41,Centaline
3/11/2024,Cullinan West・Phase 2A・Tower 2B・Lower Floor・Flat J,,,--,381ft²,@$54,Centaline
3/11/2024,Cullinan West・Phase 2A・Tower 1B・Upper Floor・Flat A,,,--,532ft²,@$62,Centaline
3/11/2024,The Sherwood・Tower 5・Middle Floor・Flat C,,,--,396ft²,@$28,Centaline
3/11/2024,Lohas Park・Phase 6 Lp6・Tower 5・Middle Floor・Flat M,,,--,305ft²,@$49,Centaline
3/11/2024,The Parkside・Tower 1A・Upper Floor・Flat C,,,--,508ft²,@$44,Centaline
3/11/2024,Harmony Place・Upper Floor・Flat E,,,--,635ft²,@$47,Centaline
3/11/2024,Hong Kong Gold Coast・Block 8・Upper Floor・Flat C,,,--,535ft²,@$26,Centaline
3/11/2024,Mantin Heights・Tower 7・Lower Floor・Flat A,,,--,"1,045ft²",@$50,Centaline
3/11/2024,One East Coast・Tower 1A・Middle Floor・Flat H,,,--,262ft²,@$53,Centaline
3/11/2024,Lohas Park・Phase 6 Lp6・Tower 2・Middle Floor・Flat F,,,--,506ft²,@$35,Centaline
3/11/2024,The Metro City・Phase 2・Tower 7・Upper Floor・Flat E,,,--,441ft²,@$41,Centaline
3/11/2024,Laguna Verde・Phase 3 Costa Del Sol・Tower 11・Upper Floor・Flat A,,,--,869ft²,@$38,Centaline
3/11/2024,Sorrento・Phase 2・Block 1・Lower Floor・Flat F,,,--,"1,067ft²",@$46,Centaline
3/11/2024,Sorrento・Phase 1・Block 6・Middle Floor・Flat B,,,--,625ft²,@$51,Centaline
3/11/2024,Sheung Shui Centre・Block 1・Upper Floor・Flat F,,,--,342ft²,@$34,Centaline
3/11/2024,Hoi Sun Building・Lower Floor・Flat D,,,--,326ft²,@$44,Centaline
3/11/2024,Lohas Park・Phase 4B Wings At Sea Il・Tower 5A・Upper Floor・Flat F,,,--,344ft²,@$45,Centaline
3/11/2024,Eivissa Crest・Upper Floor・Flat A,,,--,307ft²,@$64,Centaline
3/11/2024,Mount Regency・Phase 1・Tower 1B・Middle Floor・Flat D,,,--,404ft²,@$32,Centaline
3/11/2024,Chelsea Court・Tower South (A2)・Lower Floor・Flat E,,,--,372ft²,@$44,Centaline
3/11/2024,Serene Garden・Block 1・Upper Floor・Flat A,,,--,431ft²,@$34,Centaline
3/11/2024,The Pavilia Bay・Tower 2A・Middle Floor・Flat E,,,--,348ft²,@$50,Centaline
3/11/2024,Kingswood Villas・Phase 2 Sherwood Court・Block 1・Upper Floor・Flat D,,,--,551ft²,@$25,Centaline
3/11/2024,Scenic Gardens・Block 5・Middle Floor・Flat E,,,--,484ft²,@$27,Centaline
2/11/2024,Whampoa Garden・Phase 5 Oak Mansions・Block 1・Lower Floor・Flat F,,$7.57M,--,680ft²,"@$11,132",Centaline
2/11/2024,Harbour Green・Tower 2・Upper Floor・Flat C,,$17.13M,--,887ft²,"@$19,312",Centaline
2/11/2024,Golden Lion Garden・Phase 2・Golden Comfort Court (Block D)・Lower Floor・Flat 3,,$3.02M,--,282ft²,"@$10,709",Centaline
2/11/2024,The Reach・Tower 13・Lower Floor・Flat A,,,--,434ft²,@$31,Centaline
2/11/2024,Fok Lin Building・Block A・Upper Floor・Flat A8,,,--,366ft²,@$36,Centaline
2/11/2024,Park Towers・Tower 2・Upper Floor・Flat F,,,--,910ft²,@$45,Centaline
2/11/2024,Sereno Verde・Phase 1・Block 5・Lower Floor・Flat H,,,--,525ft²,@$29,Centaline
2/11/2024,Grandeur Gardens・Block B・Lower Floor・Flat F,,,--,519ft²,@$26,Centaline
2/11/2024,Grand Victoria・Phase 2・Tower 3 (3B)・Lower Floor・Flat F,,,--,323ft²,@$62,Centaline
2/11/2024,The Metro City・Phase 3 The Metropolis・Tower 2・Middle Floor・Flat A,,,--,470ft²,@$38,Centaline
2/11/2024,Lung Poon Court・Lung Chu House (Block C)・Lower Floor・Flat 8,,,--,353ft²,@$39,Centaline
2/11/2024,Mei Foo Sun Chuen・Phase 5・22-24 Nassau Street・Upper Floor・Flat B No. 24,,,--,715ft²,@$36,Centaline
2/11/2024,The Yoho Hub・Phase C The Yoho Hub II・Tower 8・Lower Floor・Flat B,,,--,441ft²,@$34,Centaline
2/11/2024,The Carmel,,,--,"1,606ft²",@$25,Centaline
2/11/2024,Solaria・Tower 7・Middle Floor・Flat G,,,--,529ft²,@$35,Centaline
2/11/2024,The Avenue・Phase 2・Tower 1・Middle Floor・Flat E,,,--,447ft²,@$58,Centaline
2/11/2024,Tsuen Wan Centre・Block 17 (Tai Yuan House)・Upper Floor・Flat F,,,--,329ft²,@$35,Centaline
2/11/2024,Hong Kong Gold Coast・Block 18・Middle Floor・Flat A,,,--,710ft²,@$29,Centaline
2/11/2024,Caribbean Coast・Phase 2 Albany Cove・Tower 6・Middle Floor・Flat B,,,--,728ft²,@$32,Centaline
1/11/2024,Pokfulam Gardens・Block 2・Upper Floor・Flat H,,$7.4M,--,703ft²,"@$10,526",Centaline
1/11/2024,Lake Silver・Tower 7・Lower Floor・Flat F,,$7.2M,--,564ft²,"@$12,766",Centaline
1/11/2024,Mountain Shore・Block 2・Middle Floor・Flat A,,$5.9M,--,482ft²,"@$12,241",Centaline
1/11/2024,10 Lasalle・Lower Floor・Flat D,,$6.02M,--,298ft²,"@$20,201",Centaline
1/11/2024,The Pavilia Farm・Phase 1・Tower 3 (3A)・Middle Floor・Flat C,,$8.78M,--,452ft²,"@$19,425",Centaline
1/11/2024,City One Shatin・Site 6・Block 24・Middle Floor・Flat E,,$5.48M,--,447ft²,"@$12,260",Centaline
1/11/2024,Coastal Skyline・Phase 1・Block 6・Lower Floor・Flat C,,$7.7M,--,896ft²,"@$8,594",Centaline
1/11/2024,Banyan Garden・Phase 2・Tower 8・Lower Floor・Flat D,,$6.1M,--,434ft²,"@$14,055",Centaline
1/11/2024,The Pacifica・Phase 2・Tower 6 (Belle Mer)・Middle Floor・Flat E,,$6.95M,--,484ft²,"@$14,360",Centaline
1/11/2024,Aqua Marine・Tower 1・Lower Floor・Flat E,,$6.68M,--,502ft²,"@$13,307",Centaline
1/11/2024,Liberte・Block 8・Upper Floor・Flat D,,$7.23M,--,492ft²,"@$14,685",Centaline
1/11/2024,Tsuen King Garden・Phase 1・Block 5・Lower Floor・Flat F,,$3.97M,--,435ft²,"@$9,122",Centaline
1/11/2024,Pictorial Garden・Phase 3・Iris Court (Tower 2)・Lower Floor・Flat F,,$7.3M,--,770ft²,"@$9,481",Centaline
1/11/2024,Pictorial Garden・Phase 1・Abbey Court (Block 1)・Upper Floor・Flat G,,$6M,--,646ft²,"@$9,288",Centaline
1/11/2024,Discovery Bay・Phase 12 Siena Two・Graceful Mansion (Block H2)・Middle Floor・Flat F,,$5.15M,--,608ft²,"@$8,470",Centaline
1/11/2024,Discovery Bay・Phase 1-Parkridge Village・Starview・Middle Floor・Flat A,,$4.7M,--,588ft²,"@$7,993",Centaline
1/11/2024,Discovery Bay・Phase 4-Peninsula Vl Caperidge,,$12M,--,"1,364ft²","@$8,798",Centaline
1/11/2024,Discovery Park・Phase 3・Block 10・Upper Floor・Flat H,,$7.9M,--,658ft²,"@$12,006",Centaline
1/11/2024,Lohas Park・Phase 1 The Capitol・Venice (Tower 5 - R Wing)・Lower Floor・Flat A,,$7.18M,--,716ft²,"@$10,028",Centaline
1/11/2024,Lohas Park・Phase 6 Lp6・Tower 1・Lower Floor・Flat G,,$5.79M,--,505ft²,"@$11,461",Centaline
1/11/2024,The Long Beach・Tower 6・Upper Floor・Flat D,,$8.75M,--,549ft²,"@$15,938",Centaline
1/11/2024,San Po Kong Plaza・Block 1・Upper Floor・Flat C,,$8M,--,609ft²,"@$13,136",Centaline
1/11/2024,Well On Garden・Block 2・Lower Floor・Flat H,,$4.4M,--,413ft²,"@$10,654",Centaline
1/11/2024,Parc Oasis・Tower 11 (11 Parc Oasis Rd)・Upper Floor・Flat F,,$8.28M,--,522ft²,"@$15,862",Centaline
1/11/2024,Metro Harbour View・Phase 2・Tower 10・Middle Floor・Flat G,,$6M,--,432ft²,"@$13,889",Centaline
1/11/2024,La Grove・Block 1・Middle Floor・Flat G,,$7.3M,--,807ft²,"@$9,046",Centaline
1/11/2024,City One Shatin・Site 5・Block 48・Lower Floor・Flat B,,$4.04M,--,284ft²,"@$14,225",Centaline
1/11/2024,Bellagio・Phase 1・Tower 8・Middle Floor・Flat E,,$5.2M,--,517ft²,"@$10,058",Centaline
1/11/2024,Coastal Skyline・Phase 1・Block 5・Middle Floor・Flat E,,$5.73M,--,492ft²,"@$11,646",Centaline
1/11/2024,Park Central・Phase 2・Tower 2・Lower Floor・Flat H,,$6.42M,--,465ft²,"@$13,806",Centaline
1/11/2024,Seaview Garden・Upper Floor・Flat A,,$3.7M,--,309ft²,"@$11,974",Centaline
1/11/2024,Fortress Garden・Fu Bon Court・Upper Floor・Flat E,,$7.9M,--,645ft²,"@$12,248",Centaline
1/11/2024,Monterey・Tower 2B・Upper Floor・Flat B,,$9.6M,--,581ft²,"@$16,523",Centaline
1/11/2024,The Beaumount・Phase 1・Tower 6・Lower Floor・Flat D,,$5.19M,--,507ft²,"@$10,233",Centaline
1/11/2024,Metro Town・Phase 2 Le Point・Tower 10・Lower Floor・Flat D,,$6.62M,--,513ft²,"@$12,898",Centaline
1/11/2024,Lung Poon Court・Lung Chu House (Block C)・Upper Floor・Flat 16,,$3.9M,--,353ft²,"@$11,048",Centaline
1/11/2024,Ellery Terrace・Middle Floor・Flat F,,$10.62M,--,949ft²,"@$11,191",Centaline
1/11/2024,Dynasty Heights・Sky Lodge・Sky Lodge 2 (Block 2)・Lower Floor・Flat D,,$10M,--,681ft²,"@$14,684",Centaline
1/11/2024,Lohas Park・Phase 3A Hemera・Amber (Tower 3)・Middle Floor・Flat La,,$9.68M,--,801ft²,"@$12,085",Centaline
1/11/2024,K. City・Tower 8・Middle Floor・Flat F,,$14.7M,--,793ft²,"@$18,537",Centaline
1/11/2024,Cascades・Block 2・Middle Floor・Flat D,,$8.38M,--,725ft²,"@$11,559",Centaline
1/11/2024,K. City・Tower 2・Lower Floor・Flat B,,$5.88M,--,357ft²,"@$16,471",Centaline
1/11/2024,The Papillons・Tower 6・Middle Floor・Flat K,,$12.2M,--,880ft²,"@$13,864",Centaline
1/11/2024,Telford Gardens・Block N・Lower Floor・Flat 13,,$5.65M,--,551ft²,"@$10,254",Centaline
1/11/2024,Tseung Kwan O Plaza・Phase 1・Tower 1・Lower Floor・Flat D,,$5.53M,--,414ft²,"@$13,345",Centaline
1/11/2024,Hong Sing Gardens・Block 3・Lower Floor・Flat L,,$3.24M,--,--,--,Centaline
1/11/2024,Metro Town・Phase 1・Tower 5・Upper Floor・Flat E,,$7.2M,--,487ft²,"@$14,784",Centaline
1/11/2024,New Kwai Fong Gardens・Block B・Upper Floor・Flat 2,,$5.1M,--,415ft²,"@$12,289",Centaline
1/11/2024,Lohas Park・Phase 9A Marini・Tower 3 (3A)・Upper Floor・Flat E,,$7.05M,--,495ft²,"@$14,242",Centaline
1/11/2024,One Homantin・Tower 3・Middle Floor・Flat B,,$8M,--,501ft²,"@$15,968",Centaline
1/11/2024,Greenview Court・Block 3・Upper Floor・Flat G,,$4.27M,--,477ft²,"@$8,960",Centaline
1/11/2024,Bayshore Towers・Tower 4・Middle Floor・Flat F,,$7.93M,--,567ft²,"@$13,986",Centaline
1/11/2024,Mayfair By The Sea・Ll・Tower 9・Middle Floor・Flat B,,$11.28M,--,807ft²,"@$13,978",Centaline
1/11/2024,Kam Ying Court・Kam Shun House (Block F)・Lower Floor・Flat 8,,$3.32M,--,401ft²,"@$8,274",Centaline
1/11/2024,Hampton Place・Tower 1・Lower Floor・Flat G,,$6.95M,--,448ft²,"@$15,513",Centaline
1/11/2024,Grand Horizon・Block 2・Upper Floor・Flat E,,$5.73M,--,456ft²,"@$12,561",Centaline
1/11/2024,Lexington Hill・Middle Floor・Flat A,,$13.4M,--,588ft²,"@$22,789",Centaline
1/11/2024,Villa Tiara・Block 6・Upper Floor・Flat F,,$4.34M,--,534ft²,"@$8,124",Centaline
1/11/2024,City 18・Lower Floor・Flat D,,$5.56M,--,429ft²,"@$12,960",Centaline
1/11/2024,Kingswood Villas・Phase 7 Kenswood Court・Block 4・Upper Floor・Flat H,,$4.75M,--,547ft²,"@$8,684",Centaline
1/11/2024,One Innovale・Phase 3・Tower E・Middle Floor・Flat 11,,$4.13M,--,305ft²,"@$13,541",Centaline
1/11/2024,Belvedere Garden・Phase 3・Block 6・Middle Floor・Flat A,,$6.3M,--,728ft²,"@$8,654",Centaline
1/11/2024,Yu Tung Court・Sun Tung House (Block E)・Lower Floor・Flat 12,,$3.81M,--,--,--,Centaline
1/11/2024,Greenfield Garden・Phase 1・Tower 2・Lower Floor・Flat B,,$3.75M,--,365ft²,"@$10,274",Centaline
1/11/2024,Aqua Marine・Tower 6・Middle Floor・Flat A,,$8.45M,--,581ft²,"@$14,544",Centaline
1/11/2024,Novum Point・Lower Floor・Flat N,,$5.01M,--,258ft²,"@$19,419",Centaline
1/11/2024,Sereno Verde・Phase 1・Block 2・Upper Floor・Flat F,,$5.1M,--,561ft²,"@$9,091",Centaline
1/11/2024,Serenity Park・Phase 1・Block 3・Upper Floor・Flat D,,$4.7M,--,440ft²,"@$10,682",Centaline
1/11/2024,Po Nga Court・Yat Wo House (Block A)・Lower Floor・Flat 16,,$3.38M,--,381ft²,"@$8,871",Centaline
1/11/2024,Plover Cove Garden・Block E・Lower Floor・Flat 3,,$6.33M,--,561ft²,"@$11,283",Centaline
1/11/2024,Full Scene Garden・Block 2・Upper Floor・Flat F,,$4.1M,--,432ft²,"@$9,491",Centaline
1/11/2024,Yue King Building・Lower Floor・Flat C,,$5.8M,--,580ft²,"@$10,000",Centaline
1/11/2024,Mayfair By The Sea・I,,$8.83M,--,737ft²,"@$11,981",Centaline
1/11/2024,Caribbean Coast・Phase 2 Albany Cove・Tower 6・Upper Floor・Flat B,,$7.25M,--,729ft²,"@$9,945",Centaline
1/11/2024,Dragon Pride・Upper Floor・Flat A,,$16.8M,--,876ft²,"@$19,178",Centaline
1/11/2024,Harvest Garden・Block 1・Middle Floor・Flat C,,$5.4M,--,573ft²,"@$9,424",Centaline
1/11/2024,Sea Crest Villa・Phase 1・Block 3・Middle Floor・Flat D,,$3.71M,--,471ft²,"@$7,877",Centaline
1/11/2024,Mantin Heights・Tower 2・Middle Floor・Flat F,,$9.65M,--,595ft²,"@$16,218",Centaline
1/11/2024,Sham Wan Towers・Block 2・Middle Floor・Flat A,,$8M,--,483ft²,"@$16,563",Centaline
1/11/2024,Taikoo Shing・Kam Din Terrace・(T-23) Hsia Kung Mansion・Lower Floor・Flat G,,$8.38M,--,580ft²,"@$14,448",Centaline
1/11/2024,Beverly Garden・Block 3・Lower Floor・Flat B,,$4.88M,--,484ft²,"@$10,083",Centaline
1/11/2024,Park Island・Phase 2・Block 3・Lower Floor・Flat C,,$6.38M,--,713ft²,"@$8,948",Centaline
1/11/2024,Metro Town・Phase 1・Tower 2・Middle Floor・Flat C,,$8.4M,--,629ft²,"@$13,355",Centaline
1/11/2024,May Shing Court・Fai Shing House (Block C)・Lower Floor・Flat 8,,$2.7M,--,381ft²,"@$7,087",Centaline
1/11/2024,The Aurora・Tower 3・Lower Floor・Flat E,,$5.38M,--,288ft²,"@$18,681",Centaline
1/11/2024,Kingswood Villas・Phase 3 Chestwood Court・Block 4・Lower Floor・Flat F,,$2.92M,--,449ft²,"@$6,503",Centaline
1/11/2024,The Aurora・Tower 3・Middle Floor・Flat J,,$5.42M,--,284ft²,"@$19,085",Centaline
1/11/2024,The Met. Blossom・Tower 1・Lower Floor・Flat A06,,$3.55M,--,283ft²,"@$12,544",Centaline
1/11/2024,City One Shatin・Site 5・Block 50・Lower Floor・Flat A,,$3.9M,--,284ft²,"@$13,732",Centaline
1/11/2024,Kam Tai Court・Kam Hing House (Block C)・Upper Floor・Flat 8,,$5.75M,--,650ft²,"@$8,846",Centaline
1/11/2024,Ma On Shan Centre・Tower 4・Lower Floor・Flat G,,$4.58M,--,381ft²,"@$12,021",Centaline
1/11/2024,Tivoli Garden・Tower 1・Upper Floor・Flat H,,$7.43M,--,706ft²,"@$10,524",Centaline
1/11/2024,Chelsea Court・Tower East (A1)・Lower Floor・Flat B,,$8.19M,--,640ft²,"@$12,797",Centaline
1/11/2024,Victoria Skye・Ocean Waves Tower 1・Upper Floor・Flat D,,$7.85M,--,453ft²,"@$17,329",Centaline
1/11/2024,Siu Lun Court・Sui Lun House (Block E)・Lower Floor・Flat 8,,$2.58M,--,401ft²,"@$6,434",Centaline
1/11/2024,Mount Haven・Block 3・Lower Floor・Flat D,,$7.14M,--,780ft²,"@$9,151",Centaline
1/11/2024,Ching Tai Court・Hang Tai House (Block C)・Middle Floor・Flat 5,,$5.1M,--,554ft²,"@$9,202",Centaline
1/11/2024,Sheungshui Town Center・New York Court (Block 2)・Lower Floor・Flat E,,$3.68M,--,401ft²,"@$9,177",Centaline
1/11/2024,Yoho Town・Phase 1・Block 1・Middle Floor・Flat H,,$5.62M,--,433ft²,"@$12,979",Centaline
1/11/2024,The Belchers・Phase 2・Tower 8・Lower Floor・Flat F,,$23.1M,--,"1,263ft²","@$18,290",Centaline
1/11/2024,Sun Yuen Long Centre・Block 3・Middle Floor・Flat E,,$6.86M,--,639ft²,"@$10,736",Centaline
1/11/2024,Villa Premiere・Block 2・Upper Floor・Flat F,,$5.1M,--,531ft²,"@$9,605",Centaline
1/11/2024,Yuccie Square・Tower 2・Middle Floor・Flat C,,$5.45M,--,429ft²,"@$12,704",Centaline
1/11/2024,Central Park Towers・Phase 1・Tower 2・Middle Floor・Flat F,,$4.47M,--,493ft²,"@$9,067",Centaline
1/11/2024,Kingswood Villas・Phase 7 Kenswood Court・Block 11・Middle Floor・Flat E,,$3.8M,--,446ft²,"@$8,520",Centaline
1/11/2024,Harbour Green・Tower 6・Upper Floor・Flat F,,$11.33M,--,574ft²,"@$19,739",Centaline
1/11/2024,Tong Ming Court・Tong Fu House (Block C)・Upper Floor・Flat 8,,$5.2M,--,634ft²,"@$8,202",Centaline
1/11/2024,Mount Pavilia・Tower 1・Upper Floor・Flat B,,$22.7M,--,"1,600ft²","@$14,188",Centaline
1/11/2024,Upton・Lower Floor・Flat C,,,--,540ft²,@$53,Centaline
1/11/2024,South View Garden・Lower Floor・Flat A,,,--,403ft²,@$35,Centaline
1/11/2024,Aberdeen Centre・Kong Wing Court (Block I)・Lower Floor・Flat 4,,,--,485ft²,@$31,Centaline
1/11/2024,South Coast・Middle Floor・Flat C,,,--,254ft²,@$58,Centaline
1/11/2024,Grandview Garden・Block 1・Lower Floor・Flat A,,,--,358ft²,@$42,Centaline
1/11/2024,Chi Fu Fa Yuen・Fu Wing Yuen (Block H-19)・Middle Floor・Flat H,,,--,439ft²,@$34,Centaline
1/11/2024,Chi Fu Fa Yuen・Fu Yat Yuen (Block H-6)・Lower Floor・Flat B,,,--,588ft²,@$34,Centaline
1/11/2024,Monte Vista・Block 8・Lower Floor・Flat C,,,--,521ft²,@$34,Centaline
1/11/2024,Lake Silver・Tower 8・Lower Floor・Flat F,,,--,541ft²,@$33,Centaline
1/11/2024,City One Shatin・Site 6・Block 24・Lower Floor・Flat D,,,--,326ft²,@$40,Centaline
1/11/2024,Victoria Coast・Block B・Upper Floor・Flat 1,,,--,"1,356ft²",@$52,Centaline
1/11/2024,Eden Manor・Tower 9・Lower Floor・Flat B,,,--,959ft²,@$27,Centaline
1/11/2024,Eden Manor・Tower 7・Upper Floor・Flat E,,,--,372ft²,@$34,Centaline
