station_id,station_name,latitude,longitude
6063,Pui Ching Middle School (Hong Kong),22.31746,114.17755
6064,Cheung Chuk Shan College,22.28657,114.19596
6065,Sung Lan Middle School,22.38009,114.17524
6066,Ning Po No. 2 College,22.324614,114.228276
6067,Discovery College,22.305614,114.017487
6068,Ling Liang Church M H Lau Secondary School,22.44039,114.17738
6069,Fukien Secondary School (Siu Sai Wan),22.264812,114.250714
6070,Fung Kai Liu Yun Sum Memorial School,22.483886,114.139892
6071,St Stephen's Girls' College,22.28353708,114.1444623
6072,S.K.H. Chi Fu Chi Nam Primary School,22.25722,114.13868
6073,Tsung Tsin Christian Academy,22.332413,114.150391
6074,Stewards Pooi Kei College,22.38290917,114.2134514
6075,Hong Kong Aviation Club Ltd,22.32438315,114.1903389
6076,Sha Tin College,22.392569,114.188575
6077,Salesian English School,22.275982,114.229333
6078,Lai Chack Middle School,22.301512,114.168259
6079,Bishop Hall Jubilee School,22.329804,114.181048
6080,Ho Lap College,22.33672396,114.1956174
6081,Christian Alliance S W Chan Memorial College,22.481432,114.137628
6082,Buddhist Fat Ho Memorial College,22.251976,113.866414
6083,Chiu Chow Association Secondary School,22.416712,114.230062
6084,Sham Tseng Catholic Primary School,22.367465,114.060407
6085,Chiu Yang Primary School of Hong Kong,22.451624,114.004655
6086,C.C.C. Kei Wai Primary School,22.379157,114.104691
6087,Po Leung Kuk Camões Tan Siu Lin Primary School,22.315355,114.16532
6088,Pui Tak Canossian College,22.250365,114.155846
6089,Hong Kong Sea Cadet Corps (Jubilee Centre),22.210846,114.213314
6090,HK & Kowloon Kaifong Women's Association Sun Fong Chung College,22.431046,114.194711
6091,Hong Kong Sea Cadet Corps (Tang Shiu Kin Nautical Centre),22.386136,114.308856
6092,San Wui Commercial Society Secondary School,22.407895,113.962891
6093,Maryknoll Fathers' School,22.334138,114.172878
6094,Queen's College Old Boy's Association Secondary School,22.358218,114.098107
6095,Kellett School,22.324829,114.206732
6096,Ho Ngai College (Sponsored by Sik Sik Yuen),22.3899,113.974636
6097,Caritas Yuen Long Chan Chun Ha Secondary School,22.441067,114.026414
6098,Caritas Chan Chun Ha Field Studies Centre St. Francis Campus,22.207417,114.03757
6099,Tong Sheung Tsuen,22.45385,114.13914
6100,Lung Fu Shan Environmental Education Centre,22.281085,114.138384
6101,Tung Chung Catholic School,22.28313501,113.9357167
6106,Scout Association of Hong Kong (Tai Tam Scout Centre),22.239314,114.223732
6107,Catholic Mission School,22.284093,114.147257
6108,Wofoo Foundation Dr Joseph Lee Whole Person Development Education Centre,22.359177,114.018905
6109,Lok Sin Tong Wong Chung Ming Secondary School,22.333902,114.194529
6111,Ho Koon Nature Education cum Astronomical Centre (Co-WIN 2.0),22.383608,114.108085
6112,Our Lady of the Rosary College,22.333098,114.172752
6113,Buddhist Chan Wing Kan Memorial School,22.437834,114.019878
6115,ECF Saint Too Canaan College,22.33075,114.223338
6116,La Salle College,22.328999,114.182742
6117,N.T. Heung Yee Kuk Yuen Long District Secondary School,22.442741,114.022711
6118,Pui Kiu Middle School,22.287978,114.204698
6121,Tai Po Old Market Public School (Plover Cove),22.4489223,114.1703806
6123,The Chinese Foundation Secondary School(Co-WIN 2.0),22.2645818,114.24938
6124,St. Joseph's College,22.276676,114.158718
6125,Aldrich Bay Government Primary School,22.282551,114.228577
6126,Mu Kuang English School,22.318777,114.218986
6127,Caritas Chan Chun Ha Field Studies Centre St. Paul Campus,22.205441,114.032112
6129,NLSI Lui Kwok Pat Fong College,22.319126,114.227919
6130,Tun Yu School,22.498288,114.077242
6131,North Point Government Primary School,22.288555,114.209716
6132,St. Paul's Secondary School,22.272479,114.184585
6133,CNEC Christian College,22.363851,114.139638
6134,Canossa Primary School,22.340337,114.197434
6135,HKRSS Tai Po Secondary School,22.460857,114.171064
6136,Tseung Kwan O Government Secondary School,22.325667,114.259521
6137,Canadian International School of Hong Kong,22.242655,114.167574
6138,Munsang College (Hong Kong Island),22.282919,114.224308
6139,C.C.C. Mong Man Wai College,22.316069,114.230672
6140,TWGHs Li Ka Shing College,22.492367,114.142912
6141,TWGHs Ma Kam Chan Memorial Primary School,22.493688,114.12429
6142,Kowloon Technical School,22.333984,114.159032
6143,Tak Nga Secondary School,22.330217,114.175364
6144,HHCKLA Buddhist Ching Kok Lin Association School,22.487211,114.142053
6145,American School Hong Kong,22.442574,114.164695
6146,TWGHs Lee Ching Dea Memorial College,22.28519,114.194311
6147,PLK Women's Welfare Club (WD) Fung Lee Pui Yiu Primary School,22.373997,113.99547
6148,SKH Tang Shiu Kin Secondary School,22.275769,114.178721
6149,Hong Kong Chinese Women's Club College,22.283271,114.219351
6995,Penny's Bay,22.312917,114.049642
9905,ZCB,22.321036,114.208282
9913,The Hong Kong Observatory (Co-WIN 2.0),22.302061,114.174412
