INCID,OGDINCID,CALLFROM,CALLDATE,FAILDATE,EASTING,NORTHING,LOCATION,SLOPENUM,FEATTYPE,SCALE,FACAFF,CONSEC,CONSEC - DEATHNO,CONSEC - INJURYNO,CONSEC - EVACUATED,CONSEC - ROADCLOSED
2022/08/1019WS,WSD/2022/9/2/NTE,WSD,24/08/2022,-,851875,830678,"Next to High Island Raw Water Pumping Station, High Island Reservoir",8SE-C/C23,Soil cut,15,Pedestrian pavement,-,-,-,-,-
2022/08/3155,-,Public,13/08/2022,-,835569,814426,"Near lamp post No. 37512, Peak Road",Natural hillside,Natural hillside,42,Road,-,-,-,-,-
2022/08/3153,-,Public,10/08/2022,-,815985,828470,"House No. 81, Tseng Tau Sheung Tsuen, Tuen Mun",< 3 m high cut slope,Soil cut,0.03,Registered squatter dwelling,-,-,-,-,-
2022/08/3154,-,Public,10/08/2022,-,828091,842588,"Near lamp post No. N4008 in Shun Yee San Tsuen, Ma Tso Lung, Yuen Long",< 3 m high cut slope,Soil cut,2.1,Access road,-,-,-,-,-
2022/08/3157,-,HyD,08/08/2022,-,837747,813780,"Above Tai Hang Road, Happy Valley, Wan Chai",Natural hillside & 11SE-C/C802,Natural hillside,84,Road,-,-,-,-,-
2022/08/1016WS,WSD/2022/8/1/HK&I,WSD,05/08/2022,-,820820,808883,"Near lamp post No. VA7647, Cheung Pak Road, Cheung Chau",14NW-D/C43,Soil/rock cut,0.02,Nil,-,-,-,-,-
2022/07/3151,-,Public,28/07/2022,28/07/2022,828808,835570,"Near Feature No. 6NE-B/C104, Ta Shek Wu, Shek Tong, Kam Tin	",3.9 m high cut slope,Soil cut,0.5,Others (inhabited structure),-,-,-,-,-
2022/07/3150,-,HyD,20/07/2022,26/06/2022,835381,812384,"Opposite to Benefit Industrial Factory Building, Tong Bin Lane",11SW-D/C91,Rock cut,0.03,Others (car),A parked car damaged,-,-,-,-
2022/07/1012AF,AFCD/2022/07/0001,AFCD,11/07/2022,-,839700,815442,Mount Parker Road BBQ Site Area 1 near Feature No. 11SE-A/C900,2 m high retaining wall,Masonry wall,6,Open area,-,-,-,-,-
2022/07/1015WS,WSD/2022/07/1/HK&I,WSD,11/07/2022,-,832267,815682,"Hatton Road Salt Water Service Reservoir, Wan Chai",Natural hillside,Natural hillside,4,Others (drainage intake No. 23 at University of Hong Kong),-,-,-,-,-
2022/07/1013HY,HyD/NTE/2022/07/0010,HyD,08/07/2022,08/07/2022,832316,840835,"Crest of Feature No. 3SW-A/C72, North, Shek Wu San Tsuen, Fanling",Natural hillside,Natural hillside,0.4,Building,-,-,-,-,-
2022/07/1014HY,HyD/NTE/2022/07/0011,HyD,08/07/2022,-,841254,842416,"Near lamp post No. EB0812, Bride's Pool Road, North",3NE-D/C107,Soil cut,0.4,Road,-,-,-,-,-
2022/07/3149,-,HyD,07/07/2022,-,839456,816727,"Opposite to Braemar Terrace, Pak Fuk Road",11SE-A/C87,Rock cut,0.18,Minor footpath,-,-,-,-,-
2022/07/3148,-,DLO,30/06/2022,08/06/2022,838526,829401,"House No. 140, Lok Lo Ha Tsuen, Fo Tan, Sha Tin",< 3 m high cut slope,Soil cut,4,Pedestrian pavement,-,-,-,-,-
2022/06/1010WS,WSD/2022/6/2/NTE,WSD,24/06/2022,-,833541,826699,"Adjoining the dam of Shing Mun Reservoir, Sha Tin",7SW-C/C959,Rock cut,220,Catchwater,-,-,-,-,-
2022/06/1011WS,WSD/2022/06/2/NTW,WSD,17/06/2022,-,817746,826574,"House No. 81, Tseng Tau Sheung Tsuen, Tuen Mun",6SW-C/CR273,Soil/rock cut,1.5,Catchwater,Catchwater blocked,-,-,-,-
2022/06/3144,-,BD,16/06/2022,10/06/2022,821224,807279,"House No. 1A, Lung Tsai Tsuen, Cheung Chau",< 3 m high cut slope,Soil cut,0.2,Open area,-,-,-,-,-
2022/06/3142,-,LandsD,15/06/2022,09/06/2022,815876,827077,"Near Saint Temple at Sham Shing Hui, Castle Peak Road - Castle Peak Bay, Tuen Mun	",6SW-A/C277,Soil cut,0.05,Access road,-,-,-,-,-
2022/06/3143,-,LandsD,15/06/2022,27/05/2022,818219,826386,"Near Feature No. 6SW-C/C518, So Kwun Wat Tsuen Road, So Kwun Wat, Tuen Mun",2 m high retaining wall,Masonry wall,0.57,Registered squatter dwelling,-,-,-,-,-
2022/06/3145,-,LandsD,15/06/2022,-,816061,828767,"Near house No. 73B, Tseng Tau Chung Tsuen, Tuen Mun",2 m high cut slope,Soil cut,0.4,Registered squatter dwelling,-,-,-,-,-
2022/06/3146,-,DLO,15/06/2022,-,820878,808583,"Near house No. 12, Tai Kwai Wan San Tsuen, Cheung Chau",1.6 m high retaining wall,Retaining wall,1.9,Registered squatter dwelling,-,-,-,-,-
2022/06/3141,-,LandsD,14/06/2022,14/06/2022,821874,816848,"Footpath along Pak Wan, Peng Chau",10SW-B/C339,Soil cut,0.47,Minor footpath,-,-,-,-,-
2022/06/3140,-,Public,11/06/2022,08/06/2022,816630,829936,"Near Feature No. 6SW-A/CR387, North of Fu Tei Sheung Tsuen, Tuen Mun	",Natural hillside,Natural hillside,3.7,"Others (natural streamcourse)	",-,-,-,-,-
2022/06/3138,-,BD,10/06/2022,-,837332,819340,"No. 7 Shek Tong Street, Ma Tau Kok",2 m high retaining wall,Masonry wall,1,Access road,-,-,-,-,-
2022/06/3139,-,Public,10/06/2022,-,837097,819052,"Marigold Mansion, Fat Kwong Street, Kowloon City",11NW-D/C81,Rock cut,0.03,Pedestrian pavement,-,-,-,-,-
2022/06/1009WS,WSD/2022/06/1/NTE,WSD,10/06/2022,-,854976,824771,Adjoining Sai Kung Man Yee Road,8SE-C/C102,Soil/rock cut,4.8,Access road,-,-,-,-,-
2022/06/3147,-,DLO,10/06/2022,-,816824,805913,Shek Kwu Chau,14SW-A/C5,Rock cut,1.6,Access road,-,-,-,-,-
2022/06/3137,-,Public,09/06/2022,09/06/2022,850640,828391,"House No. 8, Wong Keng Tei, Tai Mong Tsai Road, Sai Kung",8SW-B/C137,Soil cut,1.3,Village house,-,-,-,-,-
2022/06/3135,-,FSD,08/06/2022,08/06/2022,852269,831716,"Near lamp post No. CE1776, Pak Tam Road, Tai Po ",8NW-D/C5,Soil cut,300,Road,All two lanes of Pak Tam Road temporarily closed,-,-,-,2
2022/06/3136,-,Police,08/06/2022,08/06/2022,817967,825597,"Between house No. 7A, Siu Sau Village and Construction Site of No. TMTL 463, Tuen Mun",< 3 m high fill slope,Fill,1,Construction site,-,-,-,-,-
2022/06/3134,-,HyD,07/06/2022,06/06/2022,840317,822848,"Near lamp post No. AF0497, Jat's Incline",Natural hillside,Natural hillside,1.1,Nil,-,-,-,-,-
2022/05/3132,-,ArchSD,28/05/2022,12/05/2022,840150,827745,"Tai Shek Kwu, Sha Tin",7SE-A/C506,Soil/rock cut,80,Others (slope maintenance access),-,-,-,-,-
2022/05/1008WS,WSD/2022/05/4/NTW,WSD,26/05/2022,-,819466,829519,"Tai Lam Chung Catchwater (Section G, Ch.0785 - Ch.0885), Yuen Long",6SW-B/CR145,Soil/rock cut,3,Catchwater,Catchwater blocked,-,-,-,-
2022/05/3130,-,Public,23/05/2022,14/05/2022,834285,837394,"Behind house Nos. 16 and 17, Yuen Leng, Tai Po",2.5 m high cut slope,Soil cut,8,Village house,-,-,-,-,-
2022/05/1007WS,WSD/2022/05/3/NTE,WSD,23/05/2022,-,833422,834672,"East of Tai Po Tau treatment works, Tai Po",7NW-A/F42,Fill,4,Access road,-,-,-,-,-
2022/05/3131,-,Public,22/05/2022,-,816204,811000,"Near lamp post No. FB6587, Chi Ma Wan Road, Lantau",14NW-A/C127,Soil cut,0.07,Minor footpath,-,-,-,-,-
2022/05/1006WS,WSD/2022/05/2/HK&I,WSD,20/05/2022,-,814138,811575,"Shek Pik Catchwater (Section F, Ch.8665 - Ch.8700), Lantau",13NE-B/CR35,Soil/rock cut,1,Catchwater,-,-,-,-,-
2022/05/3128,-,Public,19/05/2022,14/05/2022,831185,843192,"Behind warehouse, Man Kam To Road, Sha Ling, Sheung Shui",< 3 m high fill slope,Fill,26,Open area,-,-,-,-,-
2022/05/3127,-,DLO,16/05/2022,-,832123,815508,"Hatton Road, Lung Fu Shan",< 3 m high cut slope,Soil cut,1,Minor footpath,-,-,-,-,-
2022/05/3125,-,HyD,15/05/2022,-,835613,814328,"Black's Link, Wan Chai",11SW-D/C1723,Soil cut,0.01,Road,-,-,-,-,-
2022/05/3122,-,HyD,14/05/2022,14/05/2022,835631,814003,"Near lamp post No. 36858, Middle Gap Road",11SW-D/C549,Rock cut,6,Road,One lane of Middle Gap Road temporarily closed,-,-,-,1
2022/05/3123,-,FSD,14/05/2022,14/05/2022,832532,823390,"House Nos. 33C and 34C, Cheung Hang Village, Lai Chi Kok",3 m high cut slope,Soil cut,3,Minor footpath,Access road temporarily closed ,-,-,-,-
2022/05/3124,-,Police,14/05/2022,-,834868,835461,"No. 5 San Wai Tsai Road, Chuk Hang, Tai Po",7NW-B/C96 ,Soil cut,52,Registered squatter dwelling,Two persons from two squatter structures temporarily evacuated,-,-,2,-
2022/05/3118,-,FSD,13/05/2022,12/05/2022,828489,832306,"House No. 25C, Sheung Tsuen, Kam Tin, Yuen Long",2 m high retaining wall,Retaining wall,1,Registered squatter dwelling,Ten persons from a squatter structure temporarily evacuated,-,-,10,-
2022/05/3119,-,Public,13/05/2022,13/05/2022,835460,827394,"Pak Tin Tsuen, Sha Tin",7SW-B/C695,Soil cut,3,Access road,-,-,-,-,-
2022/05/3121,-,Public,13/05/2022,13/05/2022,818131,826602,"Lo Tsing Shan, So Kwun Wat, Tuen Mun",6SW-C/C94,Soil cut,2.5,Open area,-,-,-,-,-
2022/05/3126,-,Public,13/05/2022,13/05/2022,818150,826566,"Lo Tsing Shan, So Kwun Wat, Tuen Mun",6SW-C/C81,Soil cut,2.5,Open area,-,-,-,-,-
2022/05/1004AS,ArchSD/2022/05/001,ArchSD,13/05/2022,-,832176,837101,Wo Hop Shek Cematorium and Columbarium,3SW-C/C825,Soil cut,8,Access road,-,-,-,-,-
2022/05/3115,-,FSD,12/05/2022,12/05/2022,818820,838453,"Deep Bay Road, Yuen Long",2SW-D/C52,Retaining wall,17.5,Others (metal shelter),Collapse of a metal shelter with two dogs buried,-,-,-,-
2022/05/3117,-,HyD,12/05/2022,-,838865,846029,"Lin Ma Hang Road, Sha Tau Kok",3NE-A/C103,Rock cut,7,Access road,-,-,-,-,-
2022/05/1005WS,WSD/2022/05/1/NTE,WSD,12/05/2022,-,835115,823851,"Lower Shing Mun Tower 'A', access road, Sha Tin",7SW-D/C31,Soil/rock cut,5,Access road,-,-,-,-,-
2022/05/3116,-,DC member,12/05/2022,12/05/2022,831516,806879,"House No. 12, Sok Kwu Wan, Lamma Island",< 3 m high cut slope,Soil cut,2,Minor footpath,-,-,-,-,-
2022/04/1003WS,WSD/2022/04/1/NTW,WSD,20/04/2022,-,820130,827642,"Abutting WSD access road NT 22, Tai Lam Country Park, Tai Lam",6SW-B/C218,Soil cut,4.5,Access road,-,-,-,-,-
2022/04/3114,-,Public,15/04/2022,-,835104,814867,"Bowen Road Garden, Wan Chai",Natural hillside,Natural hillside,7.1,Minor footpath,-,-,-,-,-
2022/04/3113,-,Public,05/04/2022,03/04/2022,833827,814568,"Haking Mansions, No. 43 Barker Road, The Peak",Natural hillside,Natural hillside,0.01,Building; Minor footpath,-,-,-,-,-
2022/03/3110,-,HyD,09/03/2022,22/02/2022,841181,812485,"Tai Tam Road, Southern",Natural hillside,Natural hillside,0.008,Road,Minor scratches on a car,-,-,-,-
2022/03/3109,-,HyD,07/03/2022,04/03/2022,839224,809558,"Stanley Gap Road, Southern",15NE-A/C133,Rock cut,0.15,Road,-,-,-,-,-
2022/03/3108,-,BD,28/02/2022,05/01/2022,835912,818015,"Behind Wing Lee Building, Nos. 27-33 Kimberley Road, Tsim Sha Tsui",11NW-D/R50,Masonry wall,0.01,Others (Alleyway),-,-,-,-,-
2022/02/3106,-,Public,23/02/2022,-,837767,814085,South of Nos. 22-29 Mount Butler Road,< 3 m high cut slope,Soil cut,0.47,Road,-,-,-,-,-
2022/02/3105,-,FSD,21/02/2022,21/02/2022,815958,828478,"House No. 82, Tseng Tau Sheung Tsuen, Tuen Mun",< 3 m high cut slope,Soil cut,1.2,Access road,-,-,-,-,-
2022/01/1001LD,LandsD/2022/01/0462,LandsD,25/01/2022,22/01/2022,836844,827443,"Southeast of house No. 151, Pai Tau Village, Sha Tin",7SW-B/C422,Soil cut,30.2,Open area,-,-,-,-,-
2022/01/1002WS,WSD/2022/01/1/K,WSD,19/01/2022,-,836014,822698,"Southeast of the WSD Centralized Workshop, Lung Cheung Road",11NW-B/R29,Retaining wall,1,Others (Open car park),-,-,-,-,-
2022/01/3102,-,Public,05/01/2022,-,826383,839014,"Ka Lung Road, Tam Mei, Yuen Long",2SE-B/C50,Soil cut,3,Access road,-,-,-,-,-
2022/01/3104,-,Public,05/01/2022,-,828965,832599,"Near lamp post No. VG4013, house No. 8, Wong Chuk Yuen, Kam Tin, Yuen Long",4 m high cut slope,Soil cut,0.59,Registered squatter dwelling,-,-,-,-,-
2022/01/3101,-,HyD,03/01/2022,-,833797,814532,"Plantation Road, The Peak",Natural hillside,Natural hillside,0.014,Access road,-,-,-,-,-
2022/04/3111,-,GEO,06/04/2022,19/09/2021,817589,830759,"Fuk Hang Tsuen Road, Tai Lam, Tuen Mun",-,Rock Cut,0.2,Access road,-,-,-,-,-
2022/02/3107,-,Others,19/01/2022,-,831104,815558,Above Kennedy Town Fresh Water Service Reservoir,11SW-A/C313,Soil Cut,15,Nil,-,-,-,-,-
2021/12/3098,-,Public,09/12/2021,09/12/2021,837089,819041,"Block B, Marigold Mansion, Kowloon City",11NW-D/C81,Rock Cut,0.1,Nil,-,-,-,-,-
2021/12/1032HY,HyD/K/2021/12/0036,HyD,30/12/2021,21/12/2021,840492,823697,Shatin Pass Road (opposite to Lamp Post No. AE0460),11NE-A/C360,Rock Cut,0.7,Nil,-,-,-,-,-
2021/11/3096,-,GEO,23/11/2021,02/11/2021,842236,814832,"Opposite to Feature No. 11SE-D/C385, Sai Wan Fort Morning Trail, Chai Wan",-,Soil Cut,0.06,Minor footpath,-,-,-,-,-
2021/11/3094,HyD/NTE/2021/11/0030,Public,18/11/2021,-,841132,823610,"Fei Ngo Shan Road, Fei Ngo Shan, Sai Kung",11NE-A/C519,Soil/Rock Cut,0.6,Road,-,-,-,-,-
2021/11/3092,HyD/HK/2021/10/0041,Public,15/11/2021,13/10/2021,835758,813849,Nos. 12-14 Middle Gap Road,-,Natural Hillside,11,Road,-,-,-,-,-
2021/11/3091,-,DSD,02/11/2021,-,833470,813810,Mount Kellett Road,-,Natural Hillside,8,Other (DSD's sewer pipe on natural hillside),-,-,-,-,-
2021/11/3090,-,Public,03/11/2021,13/10/2021,817665,814661,"Outside House No. 2, Wang Tong, Mui Wo, Lantau",-,Soil Cut,1.3,Open area,-,-,-,-,-
2021/11/3089,HyD/HK/2021/11/0042,HyD,05/11/2021,05/11/2021,835094,814462,Peak Road,11SW-D/FR135,Fill Slope,1600,Road,Two lanes of Peak Road temporarily closed,-,-,-,2
2021/11/3088,-,DO,05/11/2021,13/10/2021,831829,833889,"Behind House No. 31A, Ping Long Village, Tai Po",-,Retaining Wall (Masonry),0.7,Village house,-,-,-,-,-
2021/11/3087,-,Public,03/11/2021,15/10/2021,842366,822111,"MacLehose Trail (Section 5), Tseng Lan Shue, Sai Kung",11NE-B/F336,Fill Slope,1.5,Other (agricultural land),-,-,-,-,-
2021/11/3086,-,HyD,15/10/2021,13/10/2021,822150,815881,"House No. 9A, Nam Wan Shan Ting San Tsuen, Peng Chau",-,Retaining Wall (Masonry),1,Open area,-,-,-,-,-
2021/11/3085,HyD/HK/2021/10/0039,HyD,01/11/2021,-,834353,814727,Chatham Path,-,Soil Cut,0.3,Minor footpath,-,-,-,-,-
2021/11/3084,-,BD,01/11/2021,13/10/2021,837706,815438,Ka Ning Path,11SE-A/C419,Soil Cut,5,Road,-,-,-,-,-
2021/11/3083,-,Public,29/10/2021,03/10/2021,842041,830705,"Ma On Shan Tsuen Road, Ma On Shan",7SE-D/C175,Soil Cut,0.018,Minor footpath,-,-,-,-,-
2021/11/3082,-,Public,29/10/2021,03/10/2021,842046,830591,"Ma On Shan Tsuen Road, Ma On Shan",7SE-D/C175,Rock Cut,0.045,Minor footpath,-,-,-,-,-
2021/11/1031WS,WSD/2021/11/1/NTW,WSD,08/11/2021,-,819584,825606,"Adjoining WSD Access Road NT24, Tuen Mun",6SW-D/C694,Soil Cut,2,Access road,-,-,-,-,-
2021/11/1030LD,LandsD/2021/11/0453,LandsD,30/12/2021,10/11/2021,819900,835953,"Shing Uk Tusen, Yeung Long",6NW-B/C90,Soil/Rock Cut,10.6,Nil,-,-,-,-,-
2021/10/3081,-,Public,28/10/2021,-,831983,827043,"Wo Yi Hop Lane, Tsuen Wan",-,Retaining Wall (Masonry),0.15,Minor footpath,-,-,-,-,-
2021/10/3080,HyD/K/2021/10/0035,HyD,27/10/2021,17/10/2021,834766,822744,Western side of Yin Ping Road,-,Others,39.3,Open area,-,-,-,-,-
2021/10/3079,-,DLO,21/10/2021,-,830821,826724,"Lo Wai, Tsuen Wan",7SW-C/C655,Soil Cut,3,Open area,-,-,-,-,-
2021/10/3078,-,LandsD,20/10/2021,20/10/2021,838642,815064,"Adjacent to Feature No. 11SE-A/C480, Sir Cecil's Ride",-,Soil Cut,0.15,Minor footpath,-,-,-,-,-
2021/10/3077,-,WSD,21/10/2021,16/10/2021,840022,813473,"Eastern Nature Trail, Tai Tam",-,Soil Cut,1.96,Access road,-,-,-,-,-
2021/10/3076,-,HyD,15/10/2021,15/10/2021,840373,808082,"Wong Ma Kok Road, Stanley",15NE-C/C13,Soil Cut,0.5,Road,-,-,-,-,-
2021/10/3075,HyD/NTE/2021/10/0033,Public,18/10/2021,09/10/2021,812152,815663,"Above Feature No. 9SE-B/ND12, Ma Wan New Village, Pa Mei, Tung Chung, Lantau",-,Natural Hillside,220,Nil,-,-,-,-,-
2021/10/3074,-,Public,20/10/2021,08/10/2021,836359,820671,"Behind May Moon House, Nos. 97-97A Waterloo Road",11NW-D/CR179,Retaining Wall (Masonry),0,Other (open car park),Car park cordoned off,-,-,-,-
2021/10/3073,HyD/HK/2021/10/0038,HyD,15/10/2021,-,834188,814926,Chatham Path,11SW-D/C2095,Soil Cut,6.5,Other (DSD's sewer pipe on natural hillside),-,-,-,-,-
2021/10/3072,HyD/NTE/2021/10/0029,Public,15/10/2021,11/10/2021,841532,822507,"No. 18 Fei Ngo Shan Road, Fei Ngo Shan, Sai Kung",-,Natural Hillside,2,Road,-,-,-,-,-
2021/10/3070,HyD/NTW/2021/10/0043,Police,15/10/2021,-,818821,825224,"Public footpath behind Block E12 of The Castle Bay, Nos. 6-18 Lok Chui Street, Siu Lam",6SW-D/C261,Retaining Wall (Masonry),0.15,Access road,-,-,-,-,-
2021/10/3069,-,Public,11/10/2021,09/10/2021,831213,814735,"Chinese Christian Cemetery, Pok Fu Lam",11SW-C/CR185,Soil Cut,0.52,Nil,-,-,-,-,-
2021/10/3068,HyD/NTE/2021/10/0031,HyD,13/10/2021,-,839417,846099,"Lin Ma Hang Road, North",3NE-A/C129,Soil Cut,147,Road,Lin Ma Hang Road (one-lane road) temporarily closed,-,-,-,1
2021/10/3067,-,LandsD,11/10/2021,09/10/2021,821346,807227,"No. 26 Cheung Chau Peak Road, Cheung Chau",14NW-D/FR112,Fill Slope,3,Building; Other (brick column of the entrance corridor at 1st floor of house no. 26),The brick column of the entrance corridor of the house damaged,-,-,-,-
2021/10/3066,-,BD,11/10/2021,10/10/2021,836953,812431,"Manderly Garden, Deep Water Bay",11SW-D/C1836,Fill Slope,34,Road,-,-,-,-,-
2021/10/3065,-,Public,11/10/2021,09/10/2021,843191,823616,No. 26 Pei Tau,-,Retaining Wall (Masonry),0.3,Registered squatter dwelling,-,-,-,-,-
2021/10/3063,-,Public,09/10/2021,09/10/2021,818156,814866,"Methodist Villa, Tung Wan Tau, Mui Wo, Lantau",-,Natural Hillside,50,Open area,A building platform partially undermined,-,-,-,-
2021/10/3062,-,Police,11/10/2021,-,835729,827193,"Near Feature No. 7SW-B/C553, Pak Tin Area 2 (Lamp Post No. VA6680)",-,Soil Cut,1,Minor footpath,-,-,-,-,-
2021/10/3061,-,Public,11/10/2021,-,828617,828361,"Near Feature No. 6SE-B/F61, Route Twisk, Tai Lam, Tsuen Wan",-,Soil Cut,0.5,Minor footpath,-,-,-,-,-
2021/10/3060,-,DSD,11/10/2021,09/10/2021,832422,813443,"Northeast of Pok Fu Lam Village, Pok Fu Lam",11SW-C/C407,Soil/Rock Cut,2.1,Minor footpath,-,-,-,-,-
2021/10/3059,HyD/HK/2021/10/0044,HyD,11/10/2021,10/10/2021,838421,809506,South Bay Road,15NE-A/C305,Soil Cut,27,Road,All two lanes of South Bay Road temporarily closed,-,-,-,2
2021/10/3057,-,Police,09/10/2021,-,829555,809338,"House No. 22, Tai Shan East, Yung Shue Wan, Lamma",-,Fill Slope,4.8,Registered squatter dwelling,-,-,-,-,-
2021/10/3054,HyD/NTE/2021/10/0032,HyD,08/10/2021,-,835314,840999,"Lau Shui Heung Road, North",3SW-B/C109,Soil Cut,11,Road,One lane of Lau Shui Heung Road temporarily closed,-,-,-,1
2021/10/3053,-,HyD,08/10/2021,-,833985,834467,"Shek Kwu Lung Village, Tai Po",-,Soil Cut,1.82,Minor footpath,-,-,-,-,-
2021/10/3052,-,BD,08/10/2021,08/10/2021,836358,820644,"Behind Hannover Court, Nos. 85-91 Waterloo Road",11NW-D/R101,Retaining Wall,0,Other (open car park),Car park cordoned off,-,-,-,-
2021/10/3051,-,BD,08/10/2021,08/10/2021,837121,826811,"No. 395 Pai Tau, Hing Yuen Terrace",7SW-D/C143,Soil Cut,2,Open area,-,-,-,-,-
2021/10/3050,-,BD,08/10/2021,08/10/2021,836359,820556,Nos. 93-95 Waterloo Road,11NW-D/CR179,Retaining Wall,3.5,Construction site affected,-,-,-,-,-
2021/10/3048,-,LandsD,08/10/2021,-,837880,827833,"No. 238 Ha Wo Che, Sha Tin",7SE-A/C644,Soil Cut,2,Open area,-,-,-,-,-
2021/10/3046,HyD/NTE/2021/10/0028,Police,08/10/2021,-,847578,818030,"Clear Water Bay Road, Leung Fai Tin, Sai Kung",12NW-C/C556,Soil Cut,4,Road,One lane of Clear Water Bay Road temporarily closed,-,-,-,1
2021/10/3045,-,FSD,08/10/2021,08/10/2021,833630,822132,"Near Jao Tsung-I Academy, 800 Castle Peak Road, Mei Foo",11NW-A/C179,Soil Cut,26,Road,One lane of Castle Peak Road temporarily closed,-,-,-,1
2021/10/1029HD,HD/2 of 2021,HD,10/10/2021,10/10/2021,820673,808281,"Cheung Kwai Estate, Cheung Chau",14NW-D/C35,Soil/Rock Cut,4.5,Open area,-,-,-,-,-
2021/10/1028HD,HD/1 of 2021,HD,09/10/2021,09/10/2021,842033,813987,Hing Man Estate,11SE-D/C742,Soil/Rock Cut,3.5,Minor footpath,-,-,-,-,-
2021/10/1027AD,ArchSD/SKW&Is-S/2021/10/001,ArchSD,10/10/2021,10/10/2021,842240,814830,Sai Wan Fort Morning Trail,11SE-D/C385,Soil/Rock Cut,4,Access road,-,-,-,-,-
2021/10/1026WS,WSD/2021/10/3/HK&I,WSD,21/10/2021,-,831708,815471,Pok Fu Lam Conduit at CH0685,11SW-A/C506,Soil/Rock Cut,4,Minor footpath,-,-,-,-,-
2021/10/1025WS,WSD/2021/10/4/NTE,WSD,29/10/2021,-,833769,826302,"Along access road above Lower Shing Mun Reservoir, Sha Tin",7SW-D/C823,Soil/Rock Cut,0.11,Access road,-,-,-,-,-
2021/10/1024WS,WSD/2021/10/2/K,WSD,12/10/2021,-,836940,823008,Lion Rock High Level Fresh Water No. 1 Service Reservoir,11NW-B/C135,Soil Cut,3.2,Access road,-,-,-,-,-
2021/10/1023WS,WSD/2021/10/1/NTE,WSD,12/10/2021,-,833424,834631,"East of Tai Po Tau Treatment Works, Tai Po",7NW-A/F42,Fill Slope,10,Access road,-,-,-,-,-
2021/10/1022LD,LandsD/2022/01/0459,LandsD,13/10/2021,-,832442,823722,"Cheung Hang Village, Kwai Chung",11NW-A/CR857,Soil Cut,1,Minor footpath,-,-,-,-,-
2021/10/1021LD,LandsD/2022/01/0455,LandsD,15/10/2021,08/10/2021,828565,827247,"Tso Kung Tam, Route Twisk, Tsuen Wan",6SE-B/CR382(2),Soil Cut,4,Registered squatter dwelling,-,-,-,-,-
2021/10/1020LD,LandsD/2021/10/0450,LandsD,30/12/2021,08/10/2021,829802,832686,"Wong Cheuk Yuen Village, Shek Kong, Yuen Long",6NE-D/C328,Soil Cut,3.11,Nil,-,-,-,-,-
2021/09/3042,HyD/HK/2021/09/0026,HyD,13/09/2021,03/09/2021,839943,809345,No. 15 - 23 Stanley Village Road,-,Rock Cut,0.01,Minor footpath,-,-,-,-,-
2021/09/3040,-,Public,20/08/2021,-,835293,836203,"Above Feature No. 7NW-B/MH5, Tit Mei Tsai Village, Tai Po",-,Natural Hillside,157,Nil,-,-,-,-,-
