year,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link
Year 2014,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201410_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202311_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202211_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202111_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202011_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201911_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201811_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201711_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201611_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201511_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,November,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201411_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202312_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202212_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202112_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202012_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201912_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201812_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201712_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201612_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201512_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201412_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,December,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2013/201312_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
