Dataset Name,Download Link
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TMS/2024/daily_TMS_WET_2024.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TC/2024/daily_TC_WET_2024.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/ALL/daily_HKA_WET_ALL.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/ALL/daily_HKO_WET_ALL.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/ALL/daily_KP_WET_ALL.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TMS/ALL/daily_TMS_WET_ALL.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TC/ALL/daily_TC_WET_ALL.csv
Daily mean wet bulb temperature,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1634960262967_38001
Daily mean wet bulb temperature,https://data.gov.hk/en/download-queue
Daily mean wet bulb temperature,https://data.gov.hk/en/download-queue
Tropical cyclone best track data (post analysis),https://data.gov.hk/en/download-queue
Tropical cyclone best track data (post analysis),https://data.gov.hk/en/download-queue
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2022BST.csv
Tropical cyclone best track data (post analysis),https://portal.csdi.gov.hk/geoportal/?datasetId=b7b4acbe-adb8-bcac-bbb6-af908d8b9e93
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1985BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1986BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1987BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1988BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1989BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1990BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1991BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1992BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1993BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1994BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1995BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1996BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1997BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1998BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO1999BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2000BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2001BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2002BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2003BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2004BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2005BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2006BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2007BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2008BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2009BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2010BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2011BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2012BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2013BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2014BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2015BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2016BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2017BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2018BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2019BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2020BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2021BST.csv
Tropical cyclone best track data (post analysis),https://data.weather.gov.hk/weatherAPI/hko_data/tc/HKO2023BST.csv
Tropical cyclone best track data (post analysis),https://data.gov.hk/en/download-queue
Tropical cyclone best track data (post analysis),https://data.gov.hk/en/download-queue
Daily mean amount of cloud,https://data.gov.hk/en/download-queue
Daily mean amount of cloud,https://data.gov.hk/en/download-queue
Daily mean amount of cloud,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/2024/daily_HKO_CLD_2024.csv
Daily mean amount of cloud,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/ALL/daily_HKO_CLD_ALL.csv
Daily mean amount of cloud,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1634959858263_18690
Daily mean amount of cloud,https://data.gov.hk/en/download-queue
Daily mean amount of cloud,https://data.gov.hk/en/download-queue
Daily mean pressure,https://data.gov.hk/en/download-queue
Daily mean pressure,https://data.gov.hk/en/download-queue
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/ALL/daily_HKA_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CCH/ALL/daily_CCH_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/ALL/daily_HKO_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/LFS/ALL/daily_LFS_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PEN/ALL/daily_PEN_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SHA/ALL/daily_SHA_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SEK/ALL/daily_SEK_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSH/ALL/daily_SSH_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TKL/ALL/daily_TKL_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/YCT/ALL/daily_YCT_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WGL/ALL/daily_WGL_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WLP/ALL/daily_WLP_MSLP_ALL.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/2024/daily_HKA_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CCH/2024/daily_CCH_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/2024/daily_HKO_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/LFS/2024/daily_LFS_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PEN/2024/daily_PEN_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SHA/2024/daily_SHA_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SEK/2024/daily_SEK_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSH/2024/daily_SSH_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TKL/2024/daily_TKL_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/YCT/2024/daily_YCT_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WGL/2024/daily_WGL_MSLP_2024.csv
Daily mean pressure,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WLP/2024/daily_WLP_MSLP_2024.csv
Daily mean pressure,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1634960001885_89970
Daily mean pressure,https://data.gov.hk/en/download-queue
Daily mean pressure,https://data.gov.hk/en/download-queue
Daily total evaporation,https://data.gov.hk/en/download-queue
Daily total evaporation,https://data.gov.hk/en/download-queue
Daily total evaporation,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2024/daily_KP_EVAP_2024.csv
Daily total evaporation,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/ALL/daily_KP_EVAP_ALL.csv
Daily total evaporation,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1634959749264_32378
Daily total evaporation,https://data.gov.hk/en/download-queue
Daily total evaporation,https://data.gov.hk/en/download-queue
Rainfall in the past hour from automatic weather station,https://data.gov.hk/en/download-queue
Rainfall in the past hour from automatic weather station,https://data.gov.hk/en/download-queue
Rainfall in the past hour from automatic weather station,https://data.weather.gov.hk/weatherAPI/opendata/hourlyRainfall.php?lang=en
Rainfall in the past hour from automatic weather station,https://data.weather.gov.hk/weatherAPI/opendata/hourlyRainfall.php?lang=sc
Rainfall in the past hour from automatic weather station,https://data.weather.gov.hk/weatherAPI/opendata/hourlyRainfall.php?lang=tc
Rainfall in the past hour from automatic weather station,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1666097185091_14408
Rainfall in the past hour from automatic weather station,https://data.gov.hk/en/download-queue
Rainfall in the past hour from automatic weather station,https://data.gov.hk/en/download-queue
Gregorian-Lunar calendar conversion table,https://data.gov.hk/en/download-queue
Gregorian-Lunar calendar conversion table,https://data.gov.hk/en/download-queue
Gregorian-Lunar calendar conversion table,https://data.weather.gov.hk/weatherAPI/opendata/lunardate.php?date=[YYYY-MM-DD]
Gregorian-Lunar calendar conversion table,https://data.weather.gov.hk/weatherAPI/hko_data/calendar/nongli_calendar_2023.csv
Gregorian-Lunar calendar conversion table,https://data.weather.gov.hk/weatherAPI/hko_data/calendar/nongli_calendar_2024.csv
Gregorian-Lunar calendar conversion table,https://data.gov.hk/en/download-queue
Gregorian-Lunar calendar conversion table,https://data.gov.hk/en/download-queue
Gridded rainfall nowcast in Hong Kong,https://data.gov.hk/en/download-queue
Gridded rainfall nowcast in Hong Kong,https://data.gov.hk/en/download-queue
Gridded rainfall nowcast in Hong Kong,https://data.weather.gov.hk/weatherAPI/hko_data/F3/Gridded_rainfall_nowcast.csv
Gridded rainfall nowcast in Hong Kong,https://data.weather.gov.hk/weatherAPI/hko_data/F3/Gridded_rainfall_nowcast_tc.csv
Gridded rainfall nowcast in Hong Kong,https://data.weather.gov.hk/weatherAPI/hko_data/F3/Gridded_rainfall_nowcast_sc.csv
Gridded rainfall nowcast in Hong Kong,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1634958531320_87755
Gridded rainfall nowcast in Hong Kong,https://data.gov.hk/en/download-queue
Gridded rainfall nowcast in Hong Kong,https://data.gov.hk/en/download-queue
Daily total rainfall,https://data.gov.hk/en/download-queue
Daily total rainfall,https://data.gov.hk/en/download-queue
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/2024/daily_HKA_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CCH/2024/daily_CCH_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/2024/daily_HKO_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SE/2024/daily_SE_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KSC/2024/daily_KSC_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2024/daily_KP_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/LFS/2024/daily_LFS_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TYW/2024/daily_TYW_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PEN/2024/daily_PEN_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SHA/2024/daily_SHA_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSP/2024/daily_SSP_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SKW/2024/daily_SKW_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SEK/2024/daily_SEK_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSH/2024/daily_SSH_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TKL/2024/daily_TKL_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PLC/2024/daily_PLC_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TMS/2024/daily_TMS_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TC/2024/daily_TC_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/VP1/2024/daily_VP1_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/JKB/2024/daily_JKB_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CPH/2024/daily_CPH_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TWN/2024/daily_TWN_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TU1/2024/daily_TU1_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WGL/2024/daily_WGL_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WLP/2024/daily_WLP_RF_2024.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/ALL/daily_HKA_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CCH/ALL/daily_CCH_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/ALL/daily_HKO_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SE/ALL/daily_SE_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KSC/ALL/daily_KSC_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/ALL/daily_KP_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/LFS/ALL/daily_LFS_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TYW/ALL/daily_TYW_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PEN/ALL/daily_PEN_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SHA/ALL/daily_SHA_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSP/ALL/daily_SSP_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SKW/ALL/daily_SKW_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SEK/ALL/daily_SEK_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSH/ALL/daily_SSH_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TKL/ALL/daily_TKL_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PLC/ALL/daily_PLC_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TMS/ALL/daily_TMS_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TC/ALL/daily_TC_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/VP1/ALL/daily_VP1_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/JKB/ALL/daily_JKB_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CPH/ALL/daily_CPH_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TWN/ALL/daily_TWN_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TU1/ALL/daily_TU1_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WGL/ALL/daily_WGL_RF_ALL.csv
Daily total rainfall,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WLP/ALL/daily_WLP_RF_ALL.csv
Daily total rainfall,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1634958957456_52030
Daily total rainfall,https://data.gov.hk/en/download-queue
Daily total rainfall,https://data.gov.hk/en/download-queue
Daily mean relative humidity,https://data.gov.hk/en/download-queue
Daily mean relative humidity,https://data.gov.hk/en/download-queue
Daily mean relative humidity,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/2024/daily_HKA_RH_2024.csv
Daily mean relative humidity,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CCH/2024/daily_CCH_RH_2024.csv
Daily mean relative humidity,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/2024/daily_HKO_RH_2024.csv
Daily mean relative humidity,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KSC/2024/daily_KSC_RH_2024.csv
Daily mean relative humidity,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2024/daily_KP_RH_2024.csv
