date,tavg,tmin,tmax,prcp,wdir,wspd,pres,Station
2/2/2020,18.1,16.6,20,,84,24.4,1021.7,hk intl airport
3/2/2020,19.1,17,22,,85,19.4,1020.1,hk intl airport
4/2/2020,17.2,15,18.4,,33,13.6,1020.3,hk intl airport
5/2/2020,18.1,17,19.7,,74,18.5,1020.5,hk intl airport
6/2/2020,18.1,16,20,,85,27.5,1019.2,hk intl airport
7/2/2020,19.2,18,20.4,,42,14.3,1021,hk intl airport
8/2/2020,17.4,16,19,,31,15,1024,hk intl airport
9/2/2020,16.3,15,17.6,,30,11.8,1025.8,hk intl airport
10/2/2020,16.7,15.9,18,,35,12.5,1023.3,hk intl airport
11/2/2020,18.2,16.9,20,,73,16.5,1020.3,hk intl airport
12/2/2020,20,18,23,,25,10.8,1017.9,hk intl airport
13/2/2020,20,18.7,21.9,,59,12.7,1015.3,hk intl airport
14/2/2020,22.1,20.8,26,,100,21.9,1013.3,hk intl airport
15/2/2020,22.9,20,25,,116,20.4,1013.1,hk intl airport
16/2/2020,13.4,11,18,,348,29.2,1021.1,hk intl airport
17/2/2020,13.3,10,16.7,,9,17.8,1026.8,hk intl airport
18/2/2020,14.6,11,18,,44,15.2,1026.4,hk intl airport
19/2/2020,17.6,15,21,,82,16.1,1024.3,hk intl airport
20/2/2020,18.3,15,22,,80,16.2,1024.6,hk intl airport
21/2/2020,19.9,16.9,24,,98,16.5,1026.5,hk intl airport
22/2/2020,20.2,16,24,,40,11.8,1025.7,hk intl airport
23/2/2020,20.5,17.7,25.2,,88,24,1024.2,hk intl airport
24/2/2020,20.8,18,25,,91,26.3,1020.3,hk intl airport
25/2/2020,22.2,20,25.1,,19,10.7,1017.8,hk intl airport
26/2/2020,23.3,20.2,27,,33,9.9,1017.9,hk intl airport
27/2/2020,21.6,20,24,,98,24.4,1019,hk intl airport
28/2/2020,21.3,18.7,24,,77,18.6,1017.9,hk intl airport
29/2/2020,22.7,20,26,,6,8.6,1014.7,hk intl airport
1/3/2020,23,20,27,,306,8.5,1014.3,hk intl airport
2/3/2020,21,19.6,23,,91,22.9,1017.1,hk intl airport
3/3/2020,20.4,19,22.4,,83,25.6,1017.9,hk intl airport
4/3/2020,20.2,18,22,,42,14.6,1018,hk intl airport
5/3/2020,18.4,15.8,20.5,,58,14.2,1019.3,hk intl airport
6/3/2020,19.1,17.8,21,,83,24.8,1017.1,hk intl airport
7/3/2020,22.5,19.8,26,,98,18.2,1013.5,hk intl airport
8/3/2020,23.5,21.6,25,,105,19.8,1010.1,hk intl airport
9/3/2020,24.8,23.5,26,,144,19.5,1008.1,hk intl airport
10/3/2020,23,20.5,26,,339,20.5,1013.4,hk intl airport
11/3/2020,19.5,18.4,21,,69,25.1,1017.3,hk intl airport
12/3/2020,21.6,19,26,,85,27.1,1014.6,hk intl airport
13/3/2020,24.2,21,28,,76,15.3,1014.9,hk intl airport
14/3/2020,21.6,19.3,24.2,,20,17.2,1017.7,hk intl airport
15/3/2020,20.8,19,23,,68,15.5,1019.2,hk intl airport
16/3/2020,21,19,24,,89,22.8,1019.3,hk intl airport
17/3/2020,20.8,19.9,22,,78,22.5,1018.4,hk intl airport
18/3/2020,21.2,20.2,22.3,,77,15.2,1015.5,hk intl airport
19/3/2020,21.4,19.8,23,,63,13.3,1014.4,hk intl airport
20/3/2020,21.7,20,24,,72,15.2,1014.9,hk intl airport
21/3/2020,23.1,21,25.8,,89,19.3,1014.9,hk intl airport
22/3/2020,24.7,22,29,,42,11.2,1013.8,hk intl airport
23/3/2020,25,21.5,30,,86,14,1013.9,hk intl airport
24/3/2020,23.8,21.9,27,,89,21.3,1014.8,hk intl airport
25/3/2020,23.8,22,27,,90,20,1013.7,hk intl airport
26/3/2020,24.2,22.7,27,,91,15.2,1013.1,hk intl airport
27/3/2020,25.1,23,28,,101,16.6,1012.6,hk intl airport
28/3/2020,22.8,20.2,25.6,,40,10.6,1013.5,hk intl airport
29/3/2020,21.8,20,24,,90,33.5,1012.6,hk intl airport
30/3/2020,20.1,19,22,,7,17,1012,hk intl airport
31/3/2020,19.3,18,20.8,,321,13,1013.2,hk intl airport
1/4/2020,19.3,18,20.3,,24,12.5,1015.1,hk intl airport
2/4/2020,21,20,23,,84,30.3,1016.4,hk intl airport
3/4/2020,21.1,19.6,23,,75,26.5,1016.7,hk intl airport
4/4/2020,20.9,19.8,23,,40,13.7,1017.8,hk intl airport
5/4/2020,18.3,16.9,20,,67,16.5,1018.9,hk intl airport
6/4/2020,17.4,17,18,,56,14.8,1016.9,hk intl airport
7/4/2020,19.2,17.6,21,,15,10.1,1015.6,hk intl airport
8/4/2020,21.6,20,24,,72,12.9,1016.2,hk intl airport
9/4/2020,22.5,20,26,,69,13.8,1017.3,hk intl airport
10/4/2020,22.6,20.6,25.6,,85,22.9,1017.7,hk intl airport
11/4/2020,23.2,21.7,25.4,,41,13.5,1014.7,hk intl airport
12/4/2020,21,18,24.2,,11,22.2,1017.7,hk intl airport
13/4/2020,20,17,23,,50,16.3,1019.3,hk intl airport
14/4/2020,21.1,19,23,,37,8.7,1017.4,hk intl airport
15/4/2020,22.1,18,26,,178,9,1015.5,hk intl airport
16/4/2020,23,19,27,,122,11.5,1014.4,hk intl airport
17/4/2020,24.8,22,28,,88,13.7,1014.7,hk intl airport
18/4/2020,24.9,22,27,,56,10.5,1013.8,hk intl airport
19/4/2020,26.4,23.7,30,,32,10.3,1012.5,hk intl airport
20/4/2020,26.7,24,31,,192,12.8,1012.4,hk intl airport
21/4/2020,27.2,25,30,,142,17,1012,hk intl airport
22/4/2020,23.3,20,26,,84,25,1014.3,hk intl airport
23/4/2020,20.9,19.7,22.4,,74,14.6,1017,hk intl airport
24/4/2020,18.9,17.9,20,,31,11,1019.2,hk intl airport
25/4/2020,20.1,18,22,,321,7.8,1018.2,hk intl airport
26/4/2020,23.6,20.1,27,,293,7.5,1017.1,hk intl airport
27/4/2020,24.8,21.8,28,,64,10.1,1017,hk intl airport
28/4/2020,25.6,22.9,29,,86,19.1,1017.2,hk intl airport
29/4/2020,24.5,21.7,29,,74,15.1,1016.8,hk intl airport
30/4/2020,25.1,22,29,,94,10.6,1015.2,hk intl airport
1/5/2020,26,23.8,29,,29,9.4,1012.5,hk intl airport
2/5/2020,26.8,24,30.3,,165,11,1010.2,hk intl airport
3/5/2020,28.2,25.5,32,,228,14.6,1009.5,hk intl airport
4/5/2020,28.6,26,32.1,,221,17.4,1009.6,hk intl airport
5/5/2020,28.8,27,31.5,,216,22.2,1008.7,hk intl airport
6/5/2020,29.4,27.3,32,,203,16.3,1008.5,hk intl airport
7/5/2020,29.6,28,32,,186,17.1,1008.5,hk intl airport
8/5/2020,30,28.7,32.8,,192,18.5,1008.3,hk intl airport
9/5/2020,29.9,28,33.1,,199,17.1,1009,hk intl airport
10/5/2020,29.4,26,33,,236,15.9,1009.8,hk intl airport
11/5/2020,29.1,24.1,32.5,,236,11.5,1010.4,hk intl airport
12/5/2020,27.5,25,30,,295,8.6,1010.9,hk intl airport
13/5/2020,27.6,26,31,,87,21.4,1011.7,hk intl airport
14/5/2020,28.2,25.9,31,,107,26,1010.8,hk intl airport
15/5/2020,29,27,31,,134,17.1,1008,hk intl airport
16/5/2020,28.8,26.2,32.3,,119,10.9,1007.4,hk intl airport
17/5/2020,29.1,27,32.2,,259,12.4,1005.3,hk intl airport
18/5/2020,26.4,24.7,29.5,,142,11.1,1004.4,hk intl airport
19/5/2020,28.1,26,31,,95,11.6,1004.9,hk intl airport
20/5/2020,28.6,27.3,31,,95,19.7,1005.6,hk intl airport
21/5/2020,28.8,26,31,,189,18.4,1003.4,hk intl airport
22/5/2020,28.1,27,29.2,,230,16.8,1003.2,hk intl airport
23/5/2020,26.3,25.8,27.3,,92,17.5,1006.3,hk intl airport
24/5/2020,27.4,25.5,29.8,,77,13,1009,hk intl airport
25/5/2020,27.3,24,29,,97,13.6,1009.2,hk intl airport
26/5/2020,28.8,26.9,33,,217,14.3,1007.5,hk intl airport
27/5/2020,28.3,26.9,30,,284,7,1008.6,hk intl airport
28/5/2020,28.2,26.7,30,,71,11.4,1009.8,hk intl airport
29/5/2020,28.9,27,31,,121,17.6,1009.7,hk intl airport
30/5/2020,26.8,24.7,29,,130,11.7,1010.6,hk intl airport
31/5/2020,30,28.3,32,,205,17.4,1010.3,hk intl airport
1/6/2020,30.3,29,32,,200,16.3,1010,hk intl airport
2/6/2020,29.1,26.8,31,,206,12.9,1009.3,hk intl airport
3/6/2020,30.1,28.9,32.1,,198,18.1,1008.4,hk intl airport
4/6/2020,30.5,29,32.6,,204,18.6,1007.7,hk intl airport
5/6/2020,30.5,29,32,,204,19.8,1007.2,hk intl airport
6/6/2020,27.5,25,30,,114,13.9,1006.7,hk intl airport
7/6/2020,28.6,25,30,,199,18.8,1005.3,hk intl airport
8/6/2020,28.8,26,30,,198,18.1,1005.9,hk intl airport
9/6/2020,30.1,29,31.2,,194,18.6,1007.7,hk intl airport
10/6/2020,30.5,28.9,33,,204,15.1,1008.6,hk intl airport
11/6/2020,30.2,29,32,,206,13.9,1007.4,hk intl airport
12/6/2020,30.6,27.6,34,,140,10.5,1005.3,hk intl airport
13/6/2020,30.1,27.9,33.9,,48,14.7,1004,hk intl airport
14/6/2020,28,25.9,30,,130,22.7,1007.7,hk intl airport
15/6/2020,29.3,27,32,,158,16.7,1010.9,hk intl airport
16/6/2020,29.4,27,32,,191,15.5,1009.5,hk intl airport
17/6/2020,29.8,28,33,,199,16.4,1008,hk intl airport
18/6/2020,30.2,28,33,,197,16.7,1008.4,hk intl airport
19/6/2020,30.4,28.8,33,,198,13.8,1009,hk intl airport
20/6/2020,30.5,28.7,33,,213,15.4,1008.4,hk intl airport
21/6/2020,30.5,29,33,,209,18.1,1006.1,hk intl airport
22/6/2020,31.1,29.5,33.3,,207,19.3,1006.1,hk intl airport
23/6/2020,31.1,29.4,33.1,,215,20.5,1006.9,hk intl airport
24/6/2020,31.1,29.5,34,,214,19.5,1006.3,hk intl airport
25/6/2020,31.2,29.6,34,,194,20.2,1006.1,hk intl airport
26/6/2020,31.1,29.9,34,,195,20.4,1007.6,hk intl airport
27/6/2020,31.1,29.6,34,,195,15.8,1008.1,hk intl airport
28/6/2020,30.7,27,34,,191,14.5,1007.7,hk intl airport
29/6/2020,30.6,29,33,,163,13,1006,hk intl airport
30/6/2020,30.8,29,34,,182,13.9,1004.4,hk intl airport
1/7/2020,30.2,28.6,32.6,,108,13.1,1003.7,hk intl airport
2/7/2020,29.7,27.3,32,,153,14.4,1004.8,hk intl airport
3/7/2020,29.3,28,31,,142,13,1008,hk intl airport
4/7/2020,29.8,28.5,32,,163,13.6,1008.8,hk intl airport
5/7/2020,30.3,28,33,,199,15.9,1007.1,hk intl airport
6/7/2020,30.4,27.8,33,,208,18.1,1007,hk intl airport
7/7/2020,30.1,27,32,,206,16.7,1009.1,hk intl airport
8/7/2020,30.5,29,33,,216,24.3,1007,hk intl airport
9/7/2020,30.5,29,32.3,,212,27.5,1004,hk intl airport
10/7/2020,30.6,29.5,33,,197,20.1,1005.5,hk intl airport
11/7/2020,31,29.4,33,,187,19.6,1007,hk intl airport
12/7/2020,30.9,29,33.4,,190,15.6,1007.5,hk intl airport
13/7/2020,30.8,28.6,34,,210,13.2,1007.6,hk intl airport
14/7/2020,31.3,29,35,,230,17.2,1006.4,hk intl airport
15/7/2020,31,29,34,,220,23.2,1005.8,hk intl airport
16/7/2020,31.3,29,35,,213,21.5,1006.7,hk intl airport
17/7/2020,31,27.7,34.5,,202,20,1008.2,hk intl airport
18/7/2020,31,28.1,34,,211,18.9,1008.1,hk intl airport
19/7/2020,30.8,29,33,,203,17.6,1007.6,hk intl airport
20/7/2020,30.5,29,33,,197,13.2,1009.2,hk intl airport
21/7/2020,30.6,28,33,,140,12.1,1010.3,hk intl airport
22/7/2020,30.3,28,34,,93,14.9,1009.1,hk intl airport
23/7/2020,31.1,29,34,,177,10.9,1008.9,hk intl airport
24/7/2020,31.4,28.6,35,,231,11.8,1008.3,hk intl airport
25/7/2020,31.5,29,35,,219,15.7,1007,hk intl airport
26/7/2020,31.6,29.6,35.4,,215,18.7,1006.5,hk intl airport
27/7/2020,31.3,29,35,,212,17.9,1006.2,hk intl airport
28/7/2020,31.5,28.2,36,,215,14.3,1007.3,hk intl airport
29/7/2020,31.1,29,34.5,,122,11.2,1007,hk intl airport
30/7/2020,30.7,26,35.1,,88,16.6,1006.7,hk intl airport
31/7/2020,28,26.9,29.3,,80,25.7,1004.1,hk intl airport
1/8/2020,27.7,26,31,,95,28.5,1003.8,hk intl airport
2/8/2020,27.8,26,30.1,,90,20.2,1003.9,hk intl airport
3/8/2020,27.1,26,29,,86,13,1003.2,hk intl airport
4/8/2020,28.3,26,31.2,,87,11.8,1003.8,hk intl airport
5/8/2020,27.8,25.7,31,,130,17.1,1007.6,hk intl airport
6/8/2020,29.6,25,33,,87,17.4,1009.5,hk intl airport
7/8/2020,30.6,28,34,,94,16.1,1007.8,hk intl airport
8/8/2020,30.3,28,33,,108,13.4,1005.5,hk intl airport
9/8/2020,30,28,33,,150,11.9,1004,hk intl airport
10/8/2020,30.3,28,33.7,,201,12.4,1004.1,hk intl airport
11/8/2020,30.5,29,32,,175,13.6,1006,hk intl airport
12/8/2020,27.7,26,30,,107,15.6,1009.9,hk intl airport
13/8/2020,28.2,25.5,31,,109,14.1,1010.8,hk intl airport
14/8/2020,29.6,27.2,32,,116,11.1,1009.5,hk intl airport
15/8/2020,29.9,28,32,,179,12,1008.4,hk intl airport
16/8/2020,30,26,33,,93,14.2,1008.5,hk intl airport
17/8/2020,29.1,27,32,,84,15.4,1008.2,hk intl airport
18/8/2020,27.5,25.3,30,,76,12.9,1006.7,hk intl airport
19/8/2020,26.9,25.2,28,,110,29.5,1005.1,hk intl airport
20/8/2020,29.4,27,32.3,,95,14,1008.9,hk intl airport
21/8/2020,29.6,27.7,31.1,,70,9.6,1008.9,hk intl airport
22/8/2020,29.8,27,32,,138,9.8,1008.1,hk intl airport
23/8/2020,30.1,27,33.2,,287,9.5,1006.8,hk intl airport
24/8/2020,30.6,28.7,34,,238,15.4,1005.1,hk intl airport
25/8/2020,31.1,29.4,34.2,,226,22.9,1003.5,hk intl airport
26/8/2020,30.6,26.5,34,,227,19,1001.8,hk intl airport
27/8/2020,29.1,27,31.1,,242,11,1000.4,hk intl airport
28/8/2020,30.2,28,34,,202,9.1,1002.5,hk intl airport
29/8/2020,30.8,27.9,34.5,,203,9.8,1004.1,hk intl airport
30/8/2020,30.5,28,33,,88,10.7,1005.3,hk intl airport
31/8/2020,30.6,28,33,,57,8.6,1006.2,hk intl airport
1/9/2020,31,28.6,34,,241,12.1,1005.6,hk intl airport
2/9/2020,30.9,28.4,34.4,,269,8.6,1006.2,hk intl airport
3/9/2020,31.5,29,34,,262,9.8,1008,hk intl airport
4/9/2020,30.5,29,32.7,,96,9.3,1008.6,hk intl airport
5/9/2020,28.9,27,30,,66,10.2,1007.3,hk intl airport
6/9/2020,29.6,27.5,33,,117,10,1005.9,hk intl airport
7/9/2020,29.2,26.2,32,,109,13,1007,hk intl airport
8/9/2020,27.7,25.8,29,,82,10.9,1010.4,hk intl airport
9/9/2020,28.5,27,31,,80,8.3,1009.8,hk intl airport
10/9/2020,29.2,27.9,32.5,,140,7.7,1007.1,hk intl airport
11/9/2020,29.9,27.9,32,,176,9.4,1008.1,hk intl airport
12/9/2020,29.5,26.8,33,,27,10.3,1010.9,hk intl airport
13/9/2020,28.9,26,32,,76,11.2,1011.3,hk intl airport
14/9/2020,29.4,26.6,33,,82,16.9,1010.1,hk intl airport
15/9/2020,28,26,30,,86,12.8,1008.6,hk intl airport
16/9/2020,30.6,28,34,,91,18.6,1007.8,hk intl airport
17/9/2020,29.4,27.6,32.3,,71,19.9,1006.8,hk intl airport
18/9/2020,28.4,26.8,31.1,,87,19.6,1008.7,hk intl airport
19/9/2020,28.1,27,30.5,,96,15.9,1011.4,hk intl airport
20/9/2020,28.9,27,31,,98,12.3,1011.5,hk intl airport
21/9/2020,29,27,32,,87,18.7,1010.5,hk intl airport
22/9/2020,29.3,26,32.5,,108,18.1,1010,hk intl airport
23/9/2020,29.6,28,32,,116,15.7,1010.2,hk intl airport
24/9/2020,28.7,26.6,30.1,,9,11.2,1010.7,hk intl airport
25/9/2020,28.3,26.3,31,,38,12.6,1009.7,hk intl airport
26/9/2020,28.9,27.5,30.5,,101,25.8,1009.1,hk intl airport
27/9/2020,28.9,27,31,,95,25.2,1009.9,hk intl airport
28/9/2020,27.6,26.4,29,,84,19.7,1010.3,hk intl airport
29/9/2020,28.2,26.6,30,,91,16.5,1008.3,hk intl airport
30/9/2020,28.3,25,31,,96,13.7,1007.2,hk intl airport
1/10/2020,27.6,26,30,,87,25.8,1009,hk intl airport
2/10/2020,28.5,26,31.4,,92,22.5,1010.4,hk intl airport
3/10/2020,28.8,26,32.2,,102,14.7,1011.1,hk intl airport
4/10/2020,28.8,27,31.2,,66,11.3,1009.8,hk intl airport
5/10/2020,28.5,26,31.4,,94,17.9,1010.8,hk intl airport
6/10/2020,26.6,25,28,,44,15.8,1013.7,hk intl airport
7/10/2020,25,23.8,26.4,,33,17.3,1014.9,hk intl airport
8/10/2020,24.9,23,28,,33,17.2,1015.2,hk intl airport
9/10/2020,25.8,23,29,,7,17.3,1014.9,hk intl airport
10/10/2020,26,23,29,,32,13.3,1012.8,hk intl airport
11/10/2020,27.1,25,30,,61,13.6,1010.2,hk intl airport
12/10/2020,28.6,26,32,,68,16.5,1008.6,hk intl airport
13/10/2020,25.9,24.9,28,,74,31.3,1009.1,hk intl airport
14/10/2020,26.6,25,28,,87,29.9,1012.1,hk intl airport
15/10/2020,27.3,25,30,,86,23.6,1013.4,hk intl airport
16/10/2020,27.8,25.6,31,,69,18.7,1013.4,hk intl airport
17/10/2020,25.8,24,28,,49,18.6,1014.9,hk intl airport
18/10/2020,24.9,22,28,,41,14.9,1015.8,hk intl airport
19/10/2020,24.3,22,27,,23,15.8,1016,hk intl airport
20/10/2020,24.5,22,27.2,,3,17.8,1015.4,hk intl airport
21/10/2020,24,21,27,,359,20.4,1012.6,hk intl airport
22/10/2020,24.7,22.6,28,,2,20,1009.9,hk intl airport
23/10/2020,24.1,22,26,,28,21,1011.6,hk intl airport
24/10/2020,24.4,22.2,27,,41,18.2,1013.9,hk intl airport
25/10/2020,25.5,23,28.5,,90,19.9,1014.6,hk intl airport
26/10/2020,25.4,23,29,,89,16.5,1013.3,hk intl airport
27/10/2020,26.1,23.7,31.5,,83,18.7,1012.5,hk intl airport
28/10/2020,24.9,23,28,,85,18.4,1014.6,hk intl airport
29/10/2020,24.8,23,26.1,,44,14.8,1017.4,hk intl airport
30/10/2020,24.6,23,26.9,,59,13,1018.2,hk intl airport
31/10/2020,24.1,22.6,27,,92,17.4,1017.5,hk intl airport
1/11/2020,24.2,22,26,,87,13.1,1015.9,hk intl airport
2/11/2020,25.5,22.8,29,,38,14.6,1015.3,hk intl airport
3/11/2020,23.7,21,26,,39,13.9,1017.1,hk intl airport
4/11/2020,23.5,20.6,27,,85,16.1,1017.4,hk intl airport
5/11/2020,23.5,21,26.4,,92,16.3,1017.5,hk intl airport
6/11/2020,25,22,28,,340,11.2,1016.1,hk intl airport
7/11/2020,26.6,24,29.2,,356,11.3,1015.9,hk intl airport
8/11/2020,26.6,24.9,28.2,,41,16,1017.2,hk intl airport
9/11/2020,24.6,23,27,,65,16.6,1017.8,hk intl airport
10/11/2020,23.3,22,25,,57,15.7,1019.2,hk intl airport
11/11/2020,23,21,26.5,,58,14.8,1020.8,hk intl airport
12/11/2020,22.7,20,26.7,,56,13.6,1019,hk intl airport
13/11/2020,23.4,21,26,,59,12.9,1016.9,hk intl airport
14/11/2020,23.5,22,25,,38,13.5,1017.7,hk intl airport
15/11/2020,23.5,21.9,26,,64,13.9,1019,hk intl airport
16/11/2020,24.6,22,28,,81,14,1017.8,hk intl airport
17/11/2020,25.2,23,28,,98,22.3,1015.1,hk intl airport
18/11/2020,26,24,28.6,,75,17.3,1012.9,hk intl airport
19/11/2020,26.2,24.7,29,,69,11.8,1011.7,hk intl airport
20/11/2020,26.1,23.5,29,,78,11,1012.4,hk intl airport
21/11/2020,24.6,23,26,,96,26,1014.2,hk intl airport
22/11/2020,25.7,22.9,30,,69,11.9,1017,hk intl airport
23/11/2020,23.8,23,25,,92,19.3,1019.3,hk intl airport
24/11/2020,23.7,22,26,,70,13.7,1019.4,hk intl airport
25/11/2020,24,22,27,,62,13,1018.6,hk intl airport
26/11/2020,24.7,22,28.1,,72,12.5,1019.1,hk intl airport
27/11/2020,22.7,20.6,25.3,,14,13.9,1021,hk intl airport
28/11/2020,20.4,17.9,23.2,,27,12.4,1022.4,hk intl airport
29/11/2020,19.9,17,23,,17,14.2,1022.2,hk intl airport
30/11/2020,19,16,22,,19,14.7,1022.9,hk intl airport
1/12/2020,19.7,17,23,,40,14.9,1022.5,hk intl airport
2/12/2020,20,17,23.2,,24,15.9,1020.8,hk intl airport
3/12/2020,17.3,15,20,,10,18.2,1021.7,hk intl airport
4/12/2020,15.7,13,19,,15,17.6,1022,hk intl airport
5/12/2020,16.4,13,20,,9,14.4,1022.1,hk intl airport
6/12/2020,17.3,14,20,,37,13,1020.8,hk intl airport
7/12/2020,20.2,18,22,,338,13,1020.6,hk intl airport
8/12/2020,19.3,17,21,,359,13.9,1020.1,hk intl airport
9/12/2020,19.7,17.9,22,,27,10.8,1017.8,hk intl airport
10/12/2020,21.3,19,23,,52,11.2,1016.7,hk intl airport
11/12/2020,21.6,20.7,23,,7,8.9,1015.9,hk intl airport
12/12/2020,21.4,20,23.5,,71,9.8,1015.1,hk intl airport
13/12/2020,21.8,20.5,24,,85,20.3,1014.3,hk intl airport
14/12/2020,19.1,14,22,,52,13.7,1018,hk intl airport
15/12/2020,13.8,12,15.3,,16,14.5,1022.8,hk intl airport
16/12/2020,13.6,11.8,15.3,,12,13.3,1024.1,hk intl airport
17/12/2020,13.6,11.7,15,,4,12.5,1022.8,hk intl airport
18/12/2020,15.9,14,19,,350,16.5,1022.4,hk intl airport
19/12/2020,14.2,11,17,,2,17.2,1024.4,hk intl airport
20/12/2020,14.4,11,18,,3,17.2,1024.9,hk intl airport
21/12/2020,16,12.5,19,,354,13.7,1022.8,hk intl airport
22/12/2020,16.9,14,19.1,,24,13.1,1019.9,hk intl airport
23/12/2020,19.3,18,20.5,,45,10.2,1017,hk intl airport
24/12/2020,20,19,22.1,,345,12.5,1016.5,hk intl airport
25/12/2020,19.2,18,21,,51,14.3,1018.6,hk intl airport
26/12/2020,20.2,17.7,23,,94,20.8,1017.7,hk intl airport
27/12/2020,21.1,18,25,,70,9.3,1015.8,hk intl airport
28/12/2020,21.5,18,26,,83,22.8,1014.3,hk intl airport
29/12/2020,21.7,19,25,,231,14.2,1014.6,hk intl airport
30/12/2020,15.3,11.2,21,,359,28.8,1023.4,hk intl airport
31/12/2020,10.8,8,13.8,,27,18.9,1027.5,hk intl airport
1/1/2021,11.2,8,14,,18,16.4,1025.9,hk intl airport
2/1/2021,13.2,9,17,,54,11.9,1023,hk intl airport
3/1/2021,16.8,13,20,,43,13.4,1022,hk intl airport
4/1/2021,18.4,17,20,,17,9.8,1021,hk intl airport
5/1/2021,19.2,17.6,21,,23,9,1020.1,hk intl airport
6/1/2021,16.9,15.3,19,,37,12.2,1020,hk intl airport
7/1/2021,14.9,10.7,17,,21,17.6,1020.9,hk intl airport
8/1/2021,8.6,7,10,,13,18.6,1025.8,hk intl airport
9/1/2021,10.2,7.9,12.6,,21,13.6,1024.8,hk intl airport
10/1/2021,12.4,11,14.3,,23,15.1,1023.6,hk intl airport
11/1/2021,10.2,9,12,,3,20.7,1026.4,hk intl airport
12/1/2021,10.9,7.9,15,,1,15.1,1024.6,hk intl airport
13/1/2021,12.8,8,17,,125,9.9,1020,hk intl airport
14/1/2021,15,10.5,19,,105,8.1,1017.8,hk intl airport
15/1/2021,17.4,15,21,,84,9.8,1015.9,hk intl airport
16/1/2021,18,15,23,,92,19.1,1016.9,hk intl airport
17/1/2021,16.8,14.8,19,,34,20.2,1023.5,hk intl airport
18/1/2021,14,11.9,17,,10,11.4,1023.7,hk intl airport
19/1/2021,15.7,12,19,,86,13.5,1020.2,hk intl airport
20/1/2021,18.9,16.7,22.3,,92,15.9,1017.9,hk intl airport
21/1/2021,20.5,18,24.8,,24,11.7,1015.5,hk intl airport
22/1/2021,20.5,18.9,25,,293,7.3,1013.8,hk intl airport
23/1/2021,20.2,17,23,,307,8.3,1013.9,hk intl airport
24/1/2021,19.1,17.7,22,,93,19.9,1016.6,hk intl airport
25/1/2021,19.7,18,22,,102,16.7,1017.2,hk intl airport
26/1/2021,20.2,17,23.4,,30,9.2,1016.7,hk intl airport
27/1/2021,19.5,17.8,23,,75,11.5,1017.5,hk intl airport
28/1/2021,18.7,16.7,22,,35,14.9,1020.5,hk intl airport
29/1/2021,16.9,13,20,,65,16.7,1022.4,hk intl airport
30/1/2021,17.5,15,20,,94,18.9,1021.9,hk intl airport
31/1/2021,19.6,16.9,23.4,,92,16.7,1021.3,hk intl airport
1/2/2021,20.5,17,24,,49,9.8,1019.3,hk intl airport
2/2/2021,21.1,18,26,,163,14.1,1019.4,hk intl airport
3/2/2021,19.5,17,24,,99,23.5,1021.4,hk intl airport
4/2/2021,20.3,18,24,,86,16.2,1021.3,hk intl airport
